"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"07/12/2023 00:00:00 - 07/12/2023 01:00:00","BZN|GR","Without Sequence","99.20","",""
"07/12/2023 01:00:00 - 07/12/2023 02:00:00","BZN|GR","Without Sequence","97.85","",""
"07/12/2023 02:00:00 - 07/12/2023 03:00:00","BZN|GR","Without Sequence","96.86","",""
"07/12/2023 03:00:00 - 07/12/2023 04:00:00","BZN|GR","Without Sequence","91.81","",""
"07/12/2023 04:00:00 - 07/12/2023 05:00:00","BZN|GR","Without Sequence","93.50","",""
"07/12/2023 05:00:00 - 07/12/2023 06:00:00","BZN|GR","Without Sequence","94.53","",""
"07/12/2023 06:00:00 - 07/12/2023 07:00:00","BZN|GR","Without Sequence","115.65","",""
"07/12/2023 07:00:00 - 07/12/2023 08:00:00","BZN|GR","Without Sequence","131.00","",""
"07/12/2023 08:00:00 - 07/12/2023 09:00:00","BZN|GR","Without Sequence","150.00","",""
"07/12/2023 09:00:00 - 07/12/2023 10:00:00","BZN|GR","Without Sequence","137.70","",""
"07/12/2023 10:00:00 - 07/12/2023 11:00:00","BZN|GR","Without Sequence","125.50","",""
"07/12/2023 11:00:00 - 07/12/2023 12:00:00","BZN|GR","Without Sequence","123.50","",""
"07/12/2023 12:00:00 - 07/12/2023 13:00:00","BZN|GR","Without Sequence","120.00","",""
"07/12/2023 13:00:00 - 07/12/2023 14:00:00","BZN|GR","Without Sequence","124.93","",""
"07/12/2023 14:00:00 - 07/12/2023 15:00:00","BZN|GR","Without Sequence","126.47","",""
"07/12/2023 15:00:00 - 07/12/2023 16:00:00","BZN|GR","Without Sequence","133.05","",""
"07/12/2023 16:00:00 - 07/12/2023 17:00:00","BZN|GR","Without Sequence","138.26","",""
"07/12/2023 17:00:00 - 07/12/2023 18:00:00","BZN|GR","Without Sequence","151.37","",""
"07/12/2023 18:00:00 - 07/12/2023 19:00:00","BZN|GR","Without Sequence","144.97","",""
"07/12/2023 19:00:00 - 07/12/2023 20:00:00","BZN|GR","Without Sequence","132.34","",""
"07/12/2023 20:00:00 - 07/12/2023 21:00:00","BZN|GR","Without Sequence","125.12","",""
"07/12/2023 21:00:00 - 07/12/2023 22:00:00","BZN|GR","Without Sequence","112.40","",""
"07/12/2023 22:00:00 - 07/12/2023 23:00:00","BZN|GR","Without Sequence","107.34","",""
"07/12/2023 23:00:00 - 08/12/2023 00:00:00","BZN|GR","Without Sequence","87.08","",""
