"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"27/12/2023 00:00:00 - 27/12/2023 01:00:00","BZN|GR","Without Sequence","59.05","",""
"27/12/2023 01:00:00 - 27/12/2023 02:00:00","BZN|GR","Without Sequence","93.64","",""
"27/12/2023 02:00:00 - 27/12/2023 03:00:00","BZN|GR","Without Sequence","83.81","",""
"27/12/2023 03:00:00 - 27/12/2023 04:00:00","BZN|GR","Without Sequence","87.00","",""
"27/12/2023 04:00:00 - 27/12/2023 05:00:00","BZN|GR","Without Sequence","108.44","",""
"27/12/2023 05:00:00 - 27/12/2023 06:00:00","BZN|GR","Without Sequence","113.02","",""
"27/12/2023 06:00:00 - 27/12/2023 07:00:00","BZN|GR","Without Sequence","137.39","",""
"27/12/2023 07:00:00 - 27/12/2023 08:00:00","BZN|GR","Without Sequence","121.38","",""
"27/12/2023 08:00:00 - 27/12/2023 09:00:00","BZN|GR","Without Sequence","87.00","",""
"27/12/2023 09:00:00 - 27/12/2023 10:00:00","BZN|GR","Without Sequence","65.00","",""
"27/12/2023 10:00:00 - 27/12/2023 11:00:00","BZN|GR","Without Sequence","38.00","",""
"27/12/2023 11:00:00 - 27/12/2023 12:00:00","BZN|GR","Without Sequence","35.00","",""
"27/12/2023 12:00:00 - 27/12/2023 13:00:00","BZN|GR","Without Sequence","40.00","",""
"27/12/2023 13:00:00 - 27/12/2023 14:00:00","BZN|GR","Without Sequence","55.71","",""
"27/12/2023 14:00:00 - 27/12/2023 15:00:00","BZN|GR","Without Sequence","109.55","",""
"27/12/2023 15:00:00 - 27/12/2023 16:00:00","BZN|GR","Without Sequence","107.87","",""
"27/12/2023 16:00:00 - 27/12/2023 17:00:00","BZN|GR","Without Sequence","112.71","",""
"27/12/2023 17:00:00 - 27/12/2023 18:00:00","BZN|GR","Without Sequence","113.33","",""
"27/12/2023 18:00:00 - 27/12/2023 19:00:00","BZN|GR","Without Sequence","119.07","",""
"27/12/2023 19:00:00 - 27/12/2023 20:00:00","BZN|GR","Without Sequence","112.37","",""
"27/12/2023 20:00:00 - 27/12/2023 21:00:00","BZN|GR","Without Sequence","103.02","",""
"27/12/2023 21:00:00 - 27/12/2023 22:00:00","BZN|GR","Without Sequence","90.48","",""
"27/12/2023 22:00:00 - 27/12/2023 23:00:00","BZN|GR","Without Sequence","92.69","",""
"27/12/2023 23:00:00 - 28/12/2023 00:00:00","BZN|GR","Without Sequence","91.00","",""
