"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"29/11/2023 00:00:00 - 29/11/2023 01:00:00","BZN|GR","Without Sequence","95.01","",""
"29/11/2023 01:00:00 - 29/11/2023 02:00:00","BZN|GR","Without Sequence","37.01","",""
"29/11/2023 02:00:00 - 29/11/2023 03:00:00","BZN|GR","Without Sequence","26.19","",""
"29/11/2023 03:00:00 - 29/11/2023 04:00:00","BZN|GR","Without Sequence","26.42","",""
"29/11/2023 04:00:00 - 29/11/2023 05:00:00","BZN|GR","Without Sequence","83.11","",""
"29/11/2023 05:00:00 - 29/11/2023 06:00:00","BZN|GR","Without Sequence","95.70","",""
"29/11/2023 06:00:00 - 29/11/2023 07:00:00","BZN|GR","Without Sequence","119.19","",""
"29/11/2023 07:00:00 - 29/11/2023 08:00:00","BZN|GR","Without Sequence","139.69","",""
"29/11/2023 08:00:00 - 29/11/2023 09:00:00","BZN|GR","Without Sequence","120.97","",""
"29/11/2023 09:00:00 - 29/11/2023 10:00:00","BZN|GR","Without Sequence","106.71","",""
"29/11/2023 10:00:00 - 29/11/2023 11:00:00","BZN|GR","Without Sequence","95.01","",""
"29/11/2023 11:00:00 - 29/11/2023 12:00:00","BZN|GR","Without Sequence","118.83","",""
"29/11/2023 12:00:00 - 29/11/2023 13:00:00","BZN|GR","Without Sequence","109.14","",""
"29/11/2023 13:00:00 - 29/11/2023 14:00:00","BZN|GR","Without Sequence","117.33","",""
"29/11/2023 14:00:00 - 29/11/2023 15:00:00","BZN|GR","Without Sequence","132.37","",""
"29/11/2023 15:00:00 - 29/11/2023 16:00:00","BZN|GR","Without Sequence","131.05","",""
"29/11/2023 16:00:00 - 29/11/2023 17:00:00","BZN|GR","Without Sequence","176.77","",""
"29/11/2023 17:00:00 - 29/11/2023 18:00:00","BZN|GR","Without Sequence","203.72","",""
"29/11/2023 18:00:00 - 29/11/2023 19:00:00","BZN|GR","Without Sequence","206.90","",""
"29/11/2023 19:00:00 - 29/11/2023 20:00:00","BZN|GR","Without Sequence","176.92","",""
"29/11/2023 20:00:00 - 29/11/2023 21:00:00","BZN|GR","Without Sequence","136.85","",""
"29/11/2023 21:00:00 - 29/11/2023 22:00:00","BZN|GR","Without Sequence","139.01","",""
"29/11/2023 22:00:00 - 29/11/2023 23:00:00","BZN|GR","Without Sequence","128.50","",""
"29/11/2023 23:00:00 - 30/11/2023 00:00:00","BZN|GR","Without Sequence","114.27","",""
