"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"23/12/2023 00:00:00 - 23/12/2023 01:00:00","BZN|GR","Without Sequence","102.00","",""
"23/12/2023 01:00:00 - 23/12/2023 02:00:00","BZN|GR","Without Sequence","104.19","",""
"23/12/2023 02:00:00 - 23/12/2023 03:00:00","BZN|GR","Without Sequence","96.58","",""
"23/12/2023 03:00:00 - 23/12/2023 04:00:00","BZN|GR","Without Sequence","96.00","",""
"23/12/2023 04:00:00 - 23/12/2023 05:00:00","BZN|GR","Without Sequence","90.30","",""
"23/12/2023 05:00:00 - 23/12/2023 06:00:00","BZN|GR","Without Sequence","90.00","",""
"23/12/2023 06:00:00 - 23/12/2023 07:00:00","BZN|GR","Without Sequence","104.00","",""
"23/12/2023 07:00:00 - 23/12/2023 08:00:00","BZN|GR","Without Sequence","107.00","",""
"23/12/2023 08:00:00 - 23/12/2023 09:00:00","BZN|GR","Without Sequence","109.78","",""
"23/12/2023 09:00:00 - 23/12/2023 10:00:00","BZN|GR","Without Sequence","42.08","",""
"23/12/2023 10:00:00 - 23/12/2023 11:00:00","BZN|GR","Without Sequence","15.93","",""
"23/12/2023 11:00:00 - 23/12/2023 12:00:00","BZN|GR","Without Sequence","9.86","",""
"23/12/2023 12:00:00 - 23/12/2023 13:00:00","BZN|GR","Without Sequence","10.97","",""
"23/12/2023 13:00:00 - 23/12/2023 14:00:00","BZN|GR","Without Sequence","43.00","",""
"23/12/2023 14:00:00 - 23/12/2023 15:00:00","BZN|GR","Without Sequence","92.82","",""
"23/12/2023 15:00:00 - 23/12/2023 16:00:00","BZN|GR","Without Sequence","107.44","",""
"23/12/2023 16:00:00 - 23/12/2023 17:00:00","BZN|GR","Without Sequence","107.00","",""
"23/12/2023 17:00:00 - 23/12/2023 18:00:00","BZN|GR","Without Sequence","106.44","",""
"23/12/2023 18:00:00 - 23/12/2023 19:00:00","BZN|GR","Without Sequence","106.44","",""
"23/12/2023 19:00:00 - 23/12/2023 20:00:00","BZN|GR","Without Sequence","106.44","",""
"23/12/2023 20:00:00 - 23/12/2023 21:00:00","BZN|GR","Without Sequence","104.84","",""
"23/12/2023 21:00:00 - 23/12/2023 22:00:00","BZN|GR","Without Sequence","106.44","",""
"23/12/2023 22:00:00 - 23/12/2023 23:00:00","BZN|GR","Without Sequence","111.14","",""
"23/12/2023 23:00:00 - 24/12/2023 00:00:00","BZN|GR","Without Sequence","99.00","",""
