"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"03/12/2023 00:00:00 - 03/12/2023 01:00:00","BZN|GR","Without Sequence","25.91","",""
"03/12/2023 01:00:00 - 03/12/2023 02:00:00","BZN|GR","Without Sequence","55.00","",""
"03/12/2023 02:00:00 - 03/12/2023 03:00:00","BZN|GR","Without Sequence","36.34","",""
"03/12/2023 03:00:00 - 03/12/2023 04:00:00","BZN|GR","Without Sequence","15.00","",""
"03/12/2023 04:00:00 - 03/12/2023 05:00:00","BZN|GR","Without Sequence","15.00","",""
"03/12/2023 05:00:00 - 03/12/2023 06:00:00","BZN|GR","Without Sequence","36.41","",""
"03/12/2023 06:00:00 - 03/12/2023 07:00:00","BZN|GR","Without Sequence","55.00","",""
"03/12/2023 07:00:00 - 03/12/2023 08:00:00","BZN|GR","Without Sequence","84.61","",""
"03/12/2023 08:00:00 - 03/12/2023 09:00:00","BZN|GR","Without Sequence","97.03","",""
"03/12/2023 09:00:00 - 03/12/2023 10:00:00","BZN|GR","Without Sequence","100.15","",""
"03/12/2023 10:00:00 - 03/12/2023 11:00:00","BZN|GR","Without Sequence","104.96","",""
"03/12/2023 11:00:00 - 03/12/2023 12:00:00","BZN|GR","Without Sequence","105.07","",""
"03/12/2023 12:00:00 - 03/12/2023 13:00:00","BZN|GR","Without Sequence","102.91","",""
"03/12/2023 13:00:00 - 03/12/2023 14:00:00","BZN|GR","Without Sequence","100.00","",""
"03/12/2023 14:00:00 - 03/12/2023 15:00:00","BZN|GR","Without Sequence","105.68","",""
"03/12/2023 15:00:00 - 03/12/2023 16:00:00","BZN|GR","Without Sequence","115.00","",""
"03/12/2023 16:00:00 - 03/12/2023 17:00:00","BZN|GR","Without Sequence","122.20","",""
"03/12/2023 17:00:00 - 03/12/2023 18:00:00","BZN|GR","Without Sequence","127.90","",""
"03/12/2023 18:00:00 - 03/12/2023 19:00:00","BZN|GR","Without Sequence","129.05","",""
"03/12/2023 19:00:00 - 03/12/2023 20:00:00","BZN|GR","Without Sequence","126.07","",""
"03/12/2023 20:00:00 - 03/12/2023 21:00:00","BZN|GR","Without Sequence","112.34","",""
"03/12/2023 21:00:00 - 03/12/2023 22:00:00","BZN|GR","Without Sequence","100.00","",""
"03/12/2023 22:00:00 - 03/12/2023 23:00:00","BZN|GR","Without Sequence","99.09","",""
"03/12/2023 23:00:00 - 04/12/2023 00:00:00","BZN|GR","Without Sequence","100.00","",""
