"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"09/12/2023 00:00:00 - 09/12/2023 01:00:00","BZN|GR","Without Sequence","95.00","",""
"09/12/2023 01:00:00 - 09/12/2023 02:00:00","BZN|GR","Without Sequence","92.63","",""
"09/12/2023 02:00:00 - 09/12/2023 03:00:00","BZN|GR","Without Sequence","79.49","",""
"09/12/2023 03:00:00 - 09/12/2023 04:00:00","BZN|GR","Without Sequence","73.07","",""
"09/12/2023 04:00:00 - 09/12/2023 05:00:00","BZN|GR","Without Sequence","69.67","",""
"09/12/2023 05:00:00 - 09/12/2023 06:00:00","BZN|GR","Without Sequence","72.44","",""
"09/12/2023 06:00:00 - 09/12/2023 07:00:00","BZN|GR","Without Sequence","76.04","",""
"09/12/2023 07:00:00 - 09/12/2023 08:00:00","BZN|GR","Without Sequence","87.74","",""
"09/12/2023 08:00:00 - 09/12/2023 09:00:00","BZN|GR","Without Sequence","97.38","",""
"09/12/2023 09:00:00 - 09/12/2023 10:00:00","BZN|GR","Without Sequence","90.00","",""
"09/12/2023 10:00:00 - 09/12/2023 11:00:00","BZN|GR","Without Sequence","105.00","",""
"09/12/2023 11:00:00 - 09/12/2023 12:00:00","BZN|GR","Without Sequence","110.82","",""
"09/12/2023 12:00:00 - 09/12/2023 13:00:00","BZN|GR","Without Sequence","109.35","",""
"09/12/2023 13:00:00 - 09/12/2023 14:00:00","BZN|GR","Without Sequence","113.15","",""
"09/12/2023 14:00:00 - 09/12/2023 15:00:00","BZN|GR","Without Sequence","113.63","",""
"09/12/2023 15:00:00 - 09/12/2023 16:00:00","BZN|GR","Without Sequence","115.67","",""
"09/12/2023 16:00:00 - 09/12/2023 17:00:00","BZN|GR","Without Sequence","124.00","",""
"09/12/2023 17:00:00 - 09/12/2023 18:00:00","BZN|GR","Without Sequence","128.33","",""
"09/12/2023 18:00:00 - 09/12/2023 19:00:00","BZN|GR","Without Sequence","122.01","",""
"09/12/2023 19:00:00 - 09/12/2023 20:00:00","BZN|GR","Without Sequence","123.32","",""
"09/12/2023 20:00:00 - 09/12/2023 21:00:00","BZN|GR","Without Sequence","112.84","",""
"09/12/2023 21:00:00 - 09/12/2023 22:00:00","BZN|GR","Without Sequence","106.77","",""
"09/12/2023 22:00:00 - 09/12/2023 23:00:00","BZN|GR","Without Sequence","116.00","",""
"09/12/2023 23:00:00 - 10/12/2023 00:00:00","BZN|GR","Without Sequence","114.31","",""
