"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"11/12/2023 00:00:00 - 11/12/2023 01:00:00","BZN|GR","Without Sequence","113.79","",""
"11/12/2023 01:00:00 - 11/12/2023 02:00:00","BZN|GR","Without Sequence","111.53","",""
"11/12/2023 02:00:00 - 11/12/2023 03:00:00","BZN|GR","Without Sequence","109.90","",""
"11/12/2023 03:00:00 - 11/12/2023 04:00:00","BZN|GR","Without Sequence","45.30","",""
"11/12/2023 04:00:00 - 11/12/2023 05:00:00","BZN|GR","Without Sequence","94.30","",""
"11/12/2023 05:00:00 - 11/12/2023 06:00:00","BZN|GR","Without Sequence","98.50","",""
"11/12/2023 06:00:00 - 11/12/2023 07:00:00","BZN|GR","Without Sequence","122.00","",""
"11/12/2023 07:00:00 - 11/12/2023 08:00:00","BZN|GR","Without Sequence","126.39","",""
"11/12/2023 08:00:00 - 11/12/2023 09:00:00","BZN|GR","Without Sequence","146.64","",""
"11/12/2023 09:00:00 - 11/12/2023 10:00:00","BZN|GR","Without Sequence","129.14","",""
"11/12/2023 10:00:00 - 11/12/2023 11:00:00","BZN|GR","Without Sequence","122.01","",""
"11/12/2023 11:00:00 - 11/12/2023 12:00:00","BZN|GR","Without Sequence","112.55","",""
"11/12/2023 12:00:00 - 11/12/2023 13:00:00","BZN|GR","Without Sequence","117.29","",""
"11/12/2023 13:00:00 - 11/12/2023 14:00:00","BZN|GR","Without Sequence","119.76","",""
"11/12/2023 14:00:00 - 11/12/2023 15:00:00","BZN|GR","Without Sequence","128.70","",""
"11/12/2023 15:00:00 - 11/12/2023 16:00:00","BZN|GR","Without Sequence","148.54","",""
"11/12/2023 16:00:00 - 11/12/2023 17:00:00","BZN|GR","Without Sequence","187.57","",""
"11/12/2023 17:00:00 - 11/12/2023 18:00:00","BZN|GR","Without Sequence","142.05","",""
"11/12/2023 18:00:00 - 11/12/2023 19:00:00","BZN|GR","Without Sequence","135.14","",""
"11/12/2023 19:00:00 - 11/12/2023 20:00:00","BZN|GR","Without Sequence","132.82","",""
"11/12/2023 20:00:00 - 11/12/2023 21:00:00","BZN|GR","Without Sequence","120.00","",""
"11/12/2023 21:00:00 - 11/12/2023 22:00:00","BZN|GR","Without Sequence","117.87","",""
"11/12/2023 22:00:00 - 11/12/2023 23:00:00","BZN|GR","Without Sequence","110.93","",""
"11/12/2023 23:00:00 - 12/12/2023 00:00:00","BZN|GR","Without Sequence","94.30","",""
