"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"14/12/2023 00:00:00 - 14/12/2023 01:00:00","BZN|GR","Without Sequence","77.34","",""
"14/12/2023 01:00:00 - 14/12/2023 02:00:00","BZN|GR","Without Sequence","76.19","",""
"14/12/2023 02:00:00 - 14/12/2023 03:00:00","BZN|GR","Without Sequence","76.62","",""
"14/12/2023 03:00:00 - 14/12/2023 04:00:00","BZN|GR","Without Sequence","76.41","",""
"14/12/2023 04:00:00 - 14/12/2023 05:00:00","BZN|GR","Without Sequence","77.88","",""
"14/12/2023 05:00:00 - 14/12/2023 06:00:00","BZN|GR","Without Sequence","82.13","",""
"14/12/2023 06:00:00 - 14/12/2023 07:00:00","BZN|GR","Without Sequence","99.75","",""
"14/12/2023 07:00:00 - 14/12/2023 08:00:00","BZN|GR","Without Sequence","118.55","",""
"14/12/2023 08:00:00 - 14/12/2023 09:00:00","BZN|GR","Without Sequence","127.73","",""
"14/12/2023 09:00:00 - 14/12/2023 10:00:00","BZN|GR","Without Sequence","124.36","",""
"14/12/2023 10:00:00 - 14/12/2023 11:00:00","BZN|GR","Without Sequence","123.55","",""
"14/12/2023 11:00:00 - 14/12/2023 12:00:00","BZN|GR","Without Sequence","124.13","",""
"14/12/2023 12:00:00 - 14/12/2023 13:00:00","BZN|GR","Without Sequence","115.60","",""
"14/12/2023 13:00:00 - 14/12/2023 14:00:00","BZN|GR","Without Sequence","116.50","",""
"14/12/2023 14:00:00 - 14/12/2023 15:00:00","BZN|GR","Without Sequence","118.08","",""
"14/12/2023 15:00:00 - 14/12/2023 16:00:00","BZN|GR","Without Sequence","126.00","",""
"14/12/2023 16:00:00 - 14/12/2023 17:00:00","BZN|GR","Without Sequence","132.41","",""
"14/12/2023 17:00:00 - 14/12/2023 18:00:00","BZN|GR","Without Sequence","128.79","",""
"14/12/2023 18:00:00 - 14/12/2023 19:00:00","BZN|GR","Without Sequence","126.29","",""
"14/12/2023 19:00:00 - 14/12/2023 20:00:00","BZN|GR","Without Sequence","118.08","",""
"14/12/2023 20:00:00 - 14/12/2023 21:00:00","BZN|GR","Without Sequence","106.02","",""
"14/12/2023 21:00:00 - 14/12/2023 22:00:00","BZN|GR","Without Sequence","96.20","",""
"14/12/2023 22:00:00 - 14/12/2023 23:00:00","BZN|GR","Without Sequence","94.46","",""
"14/12/2023 23:00:00 - 15/12/2023 00:00:00","BZN|GR","Without Sequence","85.57","",""
