"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"21/12/2023 00:00:00 - 21/12/2023 01:00:00","BZN|GR","Without Sequence","85.00","",""
"21/12/2023 01:00:00 - 21/12/2023 02:00:00","BZN|GR","Without Sequence","87.16","",""
"21/12/2023 02:00:00 - 21/12/2023 03:00:00","BZN|GR","Without Sequence","78.81","",""
"21/12/2023 03:00:00 - 21/12/2023 04:00:00","BZN|GR","Without Sequence","74.00","",""
"21/12/2023 04:00:00 - 21/12/2023 05:00:00","BZN|GR","Without Sequence","78.00","",""
"21/12/2023 05:00:00 - 21/12/2023 06:00:00","BZN|GR","Without Sequence","88.00","",""
"21/12/2023 06:00:00 - 21/12/2023 07:00:00","BZN|GR","Without Sequence","109.44","",""
"21/12/2023 07:00:00 - 21/12/2023 08:00:00","BZN|GR","Without Sequence","118.61","",""
"21/12/2023 08:00:00 - 21/12/2023 09:00:00","BZN|GR","Without Sequence","124.17","",""
"21/12/2023 09:00:00 - 21/12/2023 10:00:00","BZN|GR","Without Sequence","115.29","",""
"21/12/2023 10:00:00 - 21/12/2023 11:00:00","BZN|GR","Without Sequence","109.44","",""
"21/12/2023 11:00:00 - 21/12/2023 12:00:00","BZN|GR","Without Sequence","91.20","",""
"21/12/2023 12:00:00 - 21/12/2023 13:00:00","BZN|GR","Without Sequence","95.00","",""
"21/12/2023 13:00:00 - 21/12/2023 14:00:00","BZN|GR","Without Sequence","100.00","",""
"21/12/2023 14:00:00 - 21/12/2023 15:00:00","BZN|GR","Without Sequence","106.00","",""
"21/12/2023 15:00:00 - 21/12/2023 16:00:00","BZN|GR","Without Sequence","112.72","",""
"21/12/2023 16:00:00 - 21/12/2023 17:00:00","BZN|GR","Without Sequence","135.00","",""
"21/12/2023 17:00:00 - 21/12/2023 18:00:00","BZN|GR","Without Sequence","138.63","",""
"21/12/2023 18:00:00 - 21/12/2023 19:00:00","BZN|GR","Without Sequence","126.69","",""
"21/12/2023 19:00:00 - 21/12/2023 20:00:00","BZN|GR","Without Sequence","122.00","",""
"21/12/2023 20:00:00 - 21/12/2023 21:00:00","BZN|GR","Without Sequence","114.50","",""
"21/12/2023 21:00:00 - 21/12/2023 22:00:00","BZN|GR","Without Sequence","107.60","",""
"21/12/2023 22:00:00 - 21/12/2023 23:00:00","BZN|GR","Without Sequence","87.50","",""
"21/12/2023 23:00:00 - 22/12/2023 00:00:00","BZN|GR","Without Sequence","59.20","",""
