"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"19/12/2023 00:00:00 - 19/12/2023 01:00:00","BZN|GR","Without Sequence","91.55","",""
"19/12/2023 01:00:00 - 19/12/2023 02:00:00","BZN|GR","Without Sequence","88.88","",""
"19/12/2023 02:00:00 - 19/12/2023 03:00:00","BZN|GR","Without Sequence","86.50","",""
"19/12/2023 03:00:00 - 19/12/2023 04:00:00","BZN|GR","Without Sequence","65.00","",""
"19/12/2023 04:00:00 - 19/12/2023 05:00:00","BZN|GR","Without Sequence","88.00","",""
"19/12/2023 05:00:00 - 19/12/2023 06:00:00","BZN|GR","Without Sequence","92.85","",""
"19/12/2023 06:00:00 - 19/12/2023 07:00:00","BZN|GR","Without Sequence","112.34","",""
"19/12/2023 07:00:00 - 19/12/2023 08:00:00","BZN|GR","Without Sequence","131.54","",""
"19/12/2023 08:00:00 - 19/12/2023 09:00:00","BZN|GR","Without Sequence","122.01","",""
"19/12/2023 09:00:00 - 19/12/2023 10:00:00","BZN|GR","Without Sequence","94.97","",""
"19/12/2023 10:00:00 - 19/12/2023 11:00:00","BZN|GR","Without Sequence","86.10","",""
"19/12/2023 11:00:00 - 19/12/2023 12:00:00","BZN|GR","Without Sequence","79.71","",""
"19/12/2023 12:00:00 - 19/12/2023 13:00:00","BZN|GR","Without Sequence","76.50","",""
"19/12/2023 13:00:00 - 19/12/2023 14:00:00","BZN|GR","Without Sequence","89.52","",""
"19/12/2023 14:00:00 - 19/12/2023 15:00:00","BZN|GR","Without Sequence","106.16","",""
"19/12/2023 15:00:00 - 19/12/2023 16:00:00","BZN|GR","Without Sequence","122.00","",""
"19/12/2023 16:00:00 - 19/12/2023 17:00:00","BZN|GR","Without Sequence","141.20","",""
"19/12/2023 17:00:00 - 19/12/2023 18:00:00","BZN|GR","Without Sequence","149.00","",""
"19/12/2023 18:00:00 - 19/12/2023 19:00:00","BZN|GR","Without Sequence","145.00","",""
"19/12/2023 19:00:00 - 19/12/2023 20:00:00","BZN|GR","Without Sequence","144.15","",""
"19/12/2023 20:00:00 - 19/12/2023 21:00:00","BZN|GR","Without Sequence","122.01","",""
"19/12/2023 21:00:00 - 19/12/2023 22:00:00","BZN|GR","Without Sequence","110.50","",""
"19/12/2023 22:00:00 - 19/12/2023 23:00:00","BZN|GR","Without Sequence","108.39","",""
"19/12/2023 23:00:00 - 20/12/2023 00:00:00","BZN|GR","Without Sequence","101.43","",""
