"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"22/12/2023 00:00:00 - 22/12/2023 01:00:00","BZN|GR","Without Sequence","88.53","",""
"22/12/2023 01:00:00 - 22/12/2023 02:00:00","BZN|GR","Without Sequence","85.00","",""
"22/12/2023 02:00:00 - 22/12/2023 03:00:00","BZN|GR","Without Sequence","60.00","",""
"22/12/2023 03:00:00 - 22/12/2023 04:00:00","BZN|GR","Without Sequence","32.00","",""
"22/12/2023 04:00:00 - 22/12/2023 05:00:00","BZN|GR","Without Sequence","42.50","",""
"22/12/2023 05:00:00 - 22/12/2023 06:00:00","BZN|GR","Without Sequence","28.63","",""
"22/12/2023 06:00:00 - 22/12/2023 07:00:00","BZN|GR","Without Sequence","100.60","",""
"22/12/2023 07:00:00 - 22/12/2023 08:00:00","BZN|GR","Without Sequence","120.46","",""
"22/12/2023 08:00:00 - 22/12/2023 09:00:00","BZN|GR","Without Sequence","122.01","",""
"22/12/2023 09:00:00 - 22/12/2023 10:00:00","BZN|GR","Without Sequence","118.05","",""
"22/12/2023 10:00:00 - 22/12/2023 11:00:00","BZN|GR","Without Sequence","100.50","",""
"22/12/2023 11:00:00 - 22/12/2023 12:00:00","BZN|GR","Without Sequence","88.00","",""
"22/12/2023 12:00:00 - 22/12/2023 13:00:00","BZN|GR","Without Sequence","88.00","",""
"22/12/2023 13:00:00 - 22/12/2023 14:00:00","BZN|GR","Without Sequence","93.40","",""
"22/12/2023 14:00:00 - 22/12/2023 15:00:00","BZN|GR","Without Sequence","108.91","",""
"22/12/2023 15:00:00 - 22/12/2023 16:00:00","BZN|GR","Without Sequence","115.11","",""
"22/12/2023 16:00:00 - 22/12/2023 17:00:00","BZN|GR","Without Sequence","122.00","",""
"22/12/2023 17:00:00 - 22/12/2023 18:00:00","BZN|GR","Without Sequence","122.00","",""
"22/12/2023 18:00:00 - 22/12/2023 19:00:00","BZN|GR","Without Sequence","121.84","",""
"22/12/2023 19:00:00 - 22/12/2023 20:00:00","BZN|GR","Without Sequence","122.00","",""
"22/12/2023 20:00:00 - 22/12/2023 21:00:00","BZN|GR","Without Sequence","114.46","",""
"22/12/2023 21:00:00 - 22/12/2023 22:00:00","BZN|GR","Without Sequence","114.65","",""
"22/12/2023 22:00:00 - 22/12/2023 23:00:00","BZN|GR","Without Sequence","109.00","",""
"22/12/2023 23:00:00 - 23/12/2023 00:00:00","BZN|GR","Without Sequence","96.00","",""
