"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"24/12/2023 00:00:00 - 24/12/2023 01:00:00","BZN|GR","Without Sequence","106.06","",""
"24/12/2023 01:00:00 - 24/12/2023 02:00:00","BZN|GR","Without Sequence","105.00","",""
"24/12/2023 02:00:00 - 24/12/2023 03:00:00","BZN|GR","Without Sequence","100.00","",""
"24/12/2023 03:00:00 - 24/12/2023 04:00:00","BZN|GR","Without Sequence","95.50","",""
"24/12/2023 04:00:00 - 24/12/2023 05:00:00","BZN|GR","Without Sequence","99.00","",""
"24/12/2023 05:00:00 - 24/12/2023 06:00:00","BZN|GR","Without Sequence","104.19","",""
"24/12/2023 06:00:00 - 24/12/2023 07:00:00","BZN|GR","Without Sequence","105.00","",""
"24/12/2023 07:00:00 - 24/12/2023 08:00:00","BZN|GR","Without Sequence","105.00","",""
"24/12/2023 08:00:00 - 24/12/2023 09:00:00","BZN|GR","Without Sequence","107.40","",""
"24/12/2023 09:00:00 - 24/12/2023 10:00:00","BZN|GR","Without Sequence","95.74","",""
"24/12/2023 10:00:00 - 24/12/2023 11:00:00","BZN|GR","Without Sequence","44.29","",""
"24/12/2023 11:00:00 - 24/12/2023 12:00:00","BZN|GR","Without Sequence","40.14","",""
"24/12/2023 12:00:00 - 24/12/2023 13:00:00","BZN|GR","Without Sequence","43.01","",""
"24/12/2023 13:00:00 - 24/12/2023 14:00:00","BZN|GR","Without Sequence","86.96","",""
"24/12/2023 14:00:00 - 24/12/2023 15:00:00","BZN|GR","Without Sequence","100.44","",""
"24/12/2023 15:00:00 - 24/12/2023 16:00:00","BZN|GR","Without Sequence","115.26","",""
"24/12/2023 16:00:00 - 24/12/2023 17:00:00","BZN|GR","Without Sequence","140.00","",""
"24/12/2023 17:00:00 - 24/12/2023 18:00:00","BZN|GR","Without Sequence","149.72","",""
"24/12/2023 18:00:00 - 24/12/2023 19:00:00","BZN|GR","Without Sequence","153.70","",""
"24/12/2023 19:00:00 - 24/12/2023 20:00:00","BZN|GR","Without Sequence","129.63","",""
"24/12/2023 20:00:00 - 24/12/2023 21:00:00","BZN|GR","Without Sequence","154.12","",""
"24/12/2023 21:00:00 - 24/12/2023 22:00:00","BZN|GR","Without Sequence","149.72","",""
"24/12/2023 22:00:00 - 24/12/2023 23:00:00","BZN|GR","Without Sequence","139.76","",""
"24/12/2023 23:00:00 - 25/12/2023 00:00:00","BZN|GR","Without Sequence","123.22","",""
