"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"20/12/2023 00:00:00 - 20/12/2023 01:00:00","BZN|GR","Without Sequence","99.54","",""
"20/12/2023 01:00:00 - 20/12/2023 02:00:00","BZN|GR","Without Sequence","96.90","",""
"20/12/2023 02:00:00 - 20/12/2023 03:00:00","BZN|GR","Without Sequence","89.90","",""
"20/12/2023 03:00:00 - 20/12/2023 04:00:00","BZN|GR","Without Sequence","65.00","",""
"20/12/2023 04:00:00 - 20/12/2023 05:00:00","BZN|GR","Without Sequence","89.35","",""
"20/12/2023 05:00:00 - 20/12/2023 06:00:00","BZN|GR","Without Sequence","99.47","",""
"20/12/2023 06:00:00 - 20/12/2023 07:00:00","BZN|GR","Without Sequence","120.78","",""
"20/12/2023 07:00:00 - 20/12/2023 08:00:00","BZN|GR","Without Sequence","160.00","",""
"20/12/2023 08:00:00 - 20/12/2023 09:00:00","BZN|GR","Without Sequence","125.79","",""
"20/12/2023 09:00:00 - 20/12/2023 10:00:00","BZN|GR","Without Sequence","94.47","",""
"20/12/2023 10:00:00 - 20/12/2023 11:00:00","BZN|GR","Without Sequence","88.92","",""
"20/12/2023 11:00:00 - 20/12/2023 12:00:00","BZN|GR","Without Sequence","76.21","",""
"20/12/2023 12:00:00 - 20/12/2023 13:00:00","BZN|GR","Without Sequence","86.26","",""
"20/12/2023 13:00:00 - 20/12/2023 14:00:00","BZN|GR","Without Sequence","98.47","",""
"20/12/2023 14:00:00 - 20/12/2023 15:00:00","BZN|GR","Without Sequence","114.94","",""
"20/12/2023 15:00:00 - 20/12/2023 16:00:00","BZN|GR","Without Sequence","125.00","",""
"20/12/2023 16:00:00 - 20/12/2023 17:00:00","BZN|GR","Without Sequence","133.05","",""
"20/12/2023 17:00:00 - 20/12/2023 18:00:00","BZN|GR","Without Sequence","131.47","",""
"20/12/2023 18:00:00 - 20/12/2023 19:00:00","BZN|GR","Without Sequence","122.20","",""
"20/12/2023 19:00:00 - 20/12/2023 20:00:00","BZN|GR","Without Sequence","122.01","",""
"20/12/2023 20:00:00 - 20/12/2023 21:00:00","BZN|GR","Without Sequence","120.01","",""
"20/12/2023 21:00:00 - 20/12/2023 22:00:00","BZN|GR","Without Sequence","112.30","",""
"20/12/2023 22:00:00 - 20/12/2023 23:00:00","BZN|GR","Without Sequence","105.00","",""
"20/12/2023 23:00:00 - 21/12/2023 00:00:00","BZN|GR","Without Sequence","100.00","",""
