"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"06/12/2023 00:00:00 - 06/12/2023 01:00:00","BZN|GR","Without Sequence","101.07","",""
"06/12/2023 01:00:00 - 06/12/2023 02:00:00","BZN|GR","Without Sequence","99.40","",""
"06/12/2023 02:00:00 - 06/12/2023 03:00:00","BZN|GR","Without Sequence","94.18","",""
"06/12/2023 03:00:00 - 06/12/2023 04:00:00","BZN|GR","Without Sequence","93.95","",""
"06/12/2023 04:00:00 - 06/12/2023 05:00:00","BZN|GR","Without Sequence","91.75","",""
"06/12/2023 05:00:00 - 06/12/2023 06:00:00","BZN|GR","Without Sequence","93.89","",""
"06/12/2023 06:00:00 - 06/12/2023 07:00:00","BZN|GR","Without Sequence","109.33","",""
"06/12/2023 07:00:00 - 06/12/2023 08:00:00","BZN|GR","Without Sequence","133.61","",""
"06/12/2023 08:00:00 - 06/12/2023 09:00:00","BZN|GR","Without Sequence","167.00","",""
"06/12/2023 09:00:00 - 06/12/2023 10:00:00","BZN|GR","Without Sequence","166.54","",""
"06/12/2023 10:00:00 - 06/12/2023 11:00:00","BZN|GR","Without Sequence","150.00","",""
"06/12/2023 11:00:00 - 06/12/2023 12:00:00","BZN|GR","Without Sequence","140.00","",""
"06/12/2023 12:00:00 - 06/12/2023 13:00:00","BZN|GR","Without Sequence","130.75","",""
"06/12/2023 13:00:00 - 06/12/2023 14:00:00","BZN|GR","Without Sequence","131.37","",""
"06/12/2023 14:00:00 - 06/12/2023 15:00:00","BZN|GR","Without Sequence","137.25","",""
"06/12/2023 15:00:00 - 06/12/2023 16:00:00","BZN|GR","Without Sequence","143.99","",""
"06/12/2023 16:00:00 - 06/12/2023 17:00:00","BZN|GR","Without Sequence","164.00","",""
"06/12/2023 17:00:00 - 06/12/2023 18:00:00","BZN|GR","Without Sequence","178.08","",""
"06/12/2023 18:00:00 - 06/12/2023 19:00:00","BZN|GR","Without Sequence","165.28","",""
"06/12/2023 19:00:00 - 06/12/2023 20:00:00","BZN|GR","Without Sequence","149.93","",""
"06/12/2023 20:00:00 - 06/12/2023 21:00:00","BZN|GR","Without Sequence","129.91","",""
"06/12/2023 21:00:00 - 06/12/2023 22:00:00","BZN|GR","Without Sequence","115.68","",""
"06/12/2023 22:00:00 - 06/12/2023 23:00:00","BZN|GR","Without Sequence","111.19","",""
"06/12/2023 23:00:00 - 07/12/2023 00:00:00","BZN|GR","Without Sequence","102.83","",""
