"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"30/11/2023 00:00:00 - 30/11/2023 01:00:00","BZN|GR","Without Sequence","104.79","",""
"30/11/2023 01:00:00 - 30/11/2023 02:00:00","BZN|GR","Without Sequence","104.52","",""
"30/11/2023 02:00:00 - 30/11/2023 03:00:00","BZN|GR","Without Sequence","102.20","",""
"30/11/2023 03:00:00 - 30/11/2023 04:00:00","BZN|GR","Without Sequence","100.01","",""
"30/11/2023 04:00:00 - 30/11/2023 05:00:00","BZN|GR","Without Sequence","101.63","",""
"30/11/2023 05:00:00 - 30/11/2023 06:00:00","BZN|GR","Without Sequence","106.30","",""
"30/11/2023 06:00:00 - 30/11/2023 07:00:00","BZN|GR","Without Sequence","129.41","",""
"30/11/2023 07:00:00 - 30/11/2023 08:00:00","BZN|GR","Without Sequence","156.07","",""
"30/11/2023 08:00:00 - 30/11/2023 09:00:00","BZN|GR","Without Sequence","76.49","",""
"30/11/2023 09:00:00 - 30/11/2023 10:00:00","BZN|GR","Without Sequence","95.01","",""
"30/11/2023 10:00:00 - 30/11/2023 11:00:00","BZN|GR","Without Sequence","60.00","",""
"30/11/2023 11:00:00 - 30/11/2023 12:00:00","BZN|GR","Without Sequence","67.13","",""
"30/11/2023 12:00:00 - 30/11/2023 13:00:00","BZN|GR","Without Sequence","75.01","",""
"30/11/2023 13:00:00 - 30/11/2023 14:00:00","BZN|GR","Without Sequence","105.68","",""
"30/11/2023 14:00:00 - 30/11/2023 15:00:00","BZN|GR","Without Sequence","111.59","",""
"30/11/2023 15:00:00 - 30/11/2023 16:00:00","BZN|GR","Without Sequence","195.00","",""
"30/11/2023 16:00:00 - 30/11/2023 17:00:00","BZN|GR","Without Sequence","226.00","",""
"30/11/2023 17:00:00 - 30/11/2023 18:00:00","BZN|GR","Without Sequence","253.76","",""
"30/11/2023 18:00:00 - 30/11/2023 19:00:00","BZN|GR","Without Sequence","187.24","",""
"30/11/2023 19:00:00 - 30/11/2023 20:00:00","BZN|GR","Without Sequence","153.94","",""
"30/11/2023 20:00:00 - 30/11/2023 21:00:00","BZN|GR","Without Sequence","122.01","",""
"30/11/2023 21:00:00 - 30/11/2023 22:00:00","BZN|GR","Without Sequence","122.00","",""
"30/11/2023 22:00:00 - 30/11/2023 23:00:00","BZN|GR","Without Sequence","87.00","",""
"30/11/2023 23:00:00 - 01/12/2023 00:00:00","BZN|GR","Without Sequence","60.00","",""
