"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"08/12/2023 00:00:00 - 08/12/2023 01:00:00","BZN|GR","Without Sequence","95.00","",""
"08/12/2023 01:00:00 - 08/12/2023 02:00:00","BZN|GR","Without Sequence","101.01","",""
"08/12/2023 02:00:00 - 08/12/2023 03:00:00","BZN|GR","Without Sequence","81.43","",""
"08/12/2023 03:00:00 - 08/12/2023 04:00:00","BZN|GR","Without Sequence","79.52","",""
"08/12/2023 04:00:00 - 08/12/2023 05:00:00","BZN|GR","Without Sequence","80.00","",""
"08/12/2023 05:00:00 - 08/12/2023 06:00:00","BZN|GR","Without Sequence","87.04","",""
"08/12/2023 06:00:00 - 08/12/2023 07:00:00","BZN|GR","Without Sequence","112.77","",""
"08/12/2023 07:00:00 - 08/12/2023 08:00:00","BZN|GR","Without Sequence","116.61","",""
"08/12/2023 08:00:00 - 08/12/2023 09:00:00","BZN|GR","Without Sequence","120.13","",""
"08/12/2023 09:00:00 - 08/12/2023 10:00:00","BZN|GR","Without Sequence","111.68","",""
"08/12/2023 10:00:00 - 08/12/2023 11:00:00","BZN|GR","Without Sequence","111.71","",""
"08/12/2023 11:00:00 - 08/12/2023 12:00:00","BZN|GR","Without Sequence","107.13","",""
"08/12/2023 12:00:00 - 08/12/2023 13:00:00","BZN|GR","Without Sequence","110.00","",""
"08/12/2023 13:00:00 - 08/12/2023 14:00:00","BZN|GR","Without Sequence","119.00","",""
"08/12/2023 14:00:00 - 08/12/2023 15:00:00","BZN|GR","Without Sequence","119.57","",""
"08/12/2023 15:00:00 - 08/12/2023 16:00:00","BZN|GR","Without Sequence","121.41","",""
"08/12/2023 16:00:00 - 08/12/2023 17:00:00","BZN|GR","Without Sequence","123.37","",""
"08/12/2023 17:00:00 - 08/12/2023 18:00:00","BZN|GR","Without Sequence","123.06","",""
"08/12/2023 18:00:00 - 08/12/2023 19:00:00","BZN|GR","Without Sequence","118.60","",""
"08/12/2023 19:00:00 - 08/12/2023 20:00:00","BZN|GR","Without Sequence","121.19","",""
"08/12/2023 20:00:00 - 08/12/2023 21:00:00","BZN|GR","Without Sequence","110.36","",""
"08/12/2023 21:00:00 - 08/12/2023 22:00:00","BZN|GR","Without Sequence","101.12","",""
"08/12/2023 22:00:00 - 08/12/2023 23:00:00","BZN|GR","Without Sequence","108.36","",""
"08/12/2023 23:00:00 - 09/12/2023 00:00:00","BZN|GR","Without Sequence","110.85","",""
