"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"10/12/2023 00:00:00 - 10/12/2023 01:00:00","BZN|GR","Without Sequence","111.92","",""
"10/12/2023 01:00:00 - 10/12/2023 02:00:00","BZN|GR","Without Sequence","97.23","",""
"10/12/2023 02:00:00 - 10/12/2023 03:00:00","BZN|GR","Without Sequence","86.93","",""
"10/12/2023 03:00:00 - 10/12/2023 04:00:00","BZN|GR","Without Sequence","83.46","",""
"10/12/2023 04:00:00 - 10/12/2023 05:00:00","BZN|GR","Without Sequence","81.76","",""
"10/12/2023 05:00:00 - 10/12/2023 06:00:00","BZN|GR","Without Sequence","86.64","",""
"10/12/2023 06:00:00 - 10/12/2023 07:00:00","BZN|GR","Without Sequence","92.72","",""
"10/12/2023 07:00:00 - 10/12/2023 08:00:00","BZN|GR","Without Sequence","92.72","",""
"10/12/2023 08:00:00 - 10/12/2023 09:00:00","BZN|GR","Without Sequence","75.63","",""
"10/12/2023 09:00:00 - 10/12/2023 10:00:00","BZN|GR","Without Sequence","81.29","",""
"10/12/2023 10:00:00 - 10/12/2023 11:00:00","BZN|GR","Without Sequence","84.77","",""
"10/12/2023 11:00:00 - 10/12/2023 12:00:00","BZN|GR","Without Sequence","80.25","",""
"10/12/2023 12:00:00 - 10/12/2023 13:00:00","BZN|GR","Without Sequence","78.39","",""
"10/12/2023 13:00:00 - 10/12/2023 14:00:00","BZN|GR","Without Sequence","77.72","",""
"10/12/2023 14:00:00 - 10/12/2023 15:00:00","BZN|GR","Without Sequence","92.51","",""
"10/12/2023 15:00:00 - 10/12/2023 16:00:00","BZN|GR","Without Sequence","122.00","",""
"10/12/2023 16:00:00 - 10/12/2023 17:00:00","BZN|GR","Without Sequence","129.12","",""
"10/12/2023 17:00:00 - 10/12/2023 18:00:00","BZN|GR","Without Sequence","128.89","",""
"10/12/2023 18:00:00 - 10/12/2023 19:00:00","BZN|GR","Without Sequence","127.45","",""
"10/12/2023 19:00:00 - 10/12/2023 20:00:00","BZN|GR","Without Sequence","135.00","",""
"10/12/2023 20:00:00 - 10/12/2023 21:00:00","BZN|GR","Without Sequence","129.33","",""
"10/12/2023 21:00:00 - 10/12/2023 22:00:00","BZN|GR","Without Sequence","117.23","",""
"10/12/2023 22:00:00 - 10/12/2023 23:00:00","BZN|GR","Without Sequence","115.00","",""
"10/12/2023 23:00:00 - 11/12/2023 00:00:00","BZN|GR","Without Sequence","106.97","",""
