"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"18/12/2023 00:00:00 - 18/12/2023 01:00:00","BZN|GR","Without Sequence","57.29","",""
"18/12/2023 01:00:00 - 18/12/2023 02:00:00","BZN|GR","Without Sequence","57.73","",""
"18/12/2023 02:00:00 - 18/12/2023 03:00:00","BZN|GR","Without Sequence","55.37","",""
"18/12/2023 03:00:00 - 18/12/2023 04:00:00","BZN|GR","Without Sequence","52.84","",""
"18/12/2023 04:00:00 - 18/12/2023 05:00:00","BZN|GR","Without Sequence","56.37","",""
"18/12/2023 05:00:00 - 18/12/2023 06:00:00","BZN|GR","Without Sequence","75.85","",""
"18/12/2023 06:00:00 - 18/12/2023 07:00:00","BZN|GR","Without Sequence","108.15","",""
"18/12/2023 07:00:00 - 18/12/2023 08:00:00","BZN|GR","Without Sequence","122.00","",""
"18/12/2023 08:00:00 - 18/12/2023 09:00:00","BZN|GR","Without Sequence","114.05","",""
"18/12/2023 09:00:00 - 18/12/2023 10:00:00","BZN|GR","Without Sequence","103.87","",""
"18/12/2023 10:00:00 - 18/12/2023 11:00:00","BZN|GR","Without Sequence","89.03","",""
"18/12/2023 11:00:00 - 18/12/2023 12:00:00","BZN|GR","Without Sequence","81.17","",""
"18/12/2023 12:00:00 - 18/12/2023 13:00:00","BZN|GR","Without Sequence","74.89","",""
"18/12/2023 13:00:00 - 18/12/2023 14:00:00","BZN|GR","Without Sequence","81.16","",""
"18/12/2023 14:00:00 - 18/12/2023 15:00:00","BZN|GR","Without Sequence","104.99","",""
"18/12/2023 15:00:00 - 18/12/2023 16:00:00","BZN|GR","Without Sequence","118.98","",""
"18/12/2023 16:00:00 - 18/12/2023 17:00:00","BZN|GR","Without Sequence","135.00","",""
"18/12/2023 17:00:00 - 18/12/2023 18:00:00","BZN|GR","Without Sequence","128.32","",""
"18/12/2023 18:00:00 - 18/12/2023 19:00:00","BZN|GR","Without Sequence","133.09","",""
"18/12/2023 19:00:00 - 18/12/2023 20:00:00","BZN|GR","Without Sequence","122.01","",""
"18/12/2023 20:00:00 - 18/12/2023 21:00:00","BZN|GR","Without Sequence","121.73","",""
"18/12/2023 21:00:00 - 18/12/2023 22:00:00","BZN|GR","Without Sequence","101.76","",""
"18/12/2023 22:00:00 - 18/12/2023 23:00:00","BZN|GR","Without Sequence","108.33","",""
"18/12/2023 23:00:00 - 19/12/2023 00:00:00","BZN|GR","Without Sequence","102.52","",""
