"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"25/12/2023 00:00:00 - 25/12/2023 01:00:00","BZN|GR","Without Sequence","106.25","",""
"25/12/2023 01:00:00 - 25/12/2023 02:00:00","BZN|GR","Without Sequence","104.22","",""
"25/12/2023 02:00:00 - 25/12/2023 03:00:00","BZN|GR","Without Sequence","103.00","",""
"25/12/2023 03:00:00 - 25/12/2023 04:00:00","BZN|GR","Without Sequence","102.66","",""
"25/12/2023 04:00:00 - 25/12/2023 05:00:00","BZN|GR","Without Sequence","101.24","",""
"25/12/2023 05:00:00 - 25/12/2023 06:00:00","BZN|GR","Without Sequence","104.19","",""
"25/12/2023 06:00:00 - 25/12/2023 07:00:00","BZN|GR","Without Sequence","107.15","",""
"25/12/2023 07:00:00 - 25/12/2023 08:00:00","BZN|GR","Without Sequence","110.00","",""
"25/12/2023 08:00:00 - 25/12/2023 09:00:00","BZN|GR","Without Sequence","114.07","",""
"25/12/2023 09:00:00 - 25/12/2023 10:00:00","BZN|GR","Without Sequence","99.57","",""
"25/12/2023 10:00:00 - 25/12/2023 11:00:00","BZN|GR","Without Sequence","64.36","",""
"25/12/2023 11:00:00 - 25/12/2023 12:00:00","BZN|GR","Without Sequence","43.09","",""
"25/12/2023 12:00:00 - 25/12/2023 13:00:00","BZN|GR","Without Sequence","28.03","",""
"25/12/2023 13:00:00 - 25/12/2023 14:00:00","BZN|GR","Without Sequence","0.04","",""
"25/12/2023 14:00:00 - 25/12/2023 15:00:00","BZN|GR","Without Sequence","107.47","",""
"25/12/2023 15:00:00 - 25/12/2023 16:00:00","BZN|GR","Without Sequence","110.67","",""
"25/12/2023 16:00:00 - 25/12/2023 17:00:00","BZN|GR","Without Sequence","130.00","",""
"25/12/2023 17:00:00 - 25/12/2023 18:00:00","BZN|GR","Without Sequence","118.54","",""
"25/12/2023 18:00:00 - 25/12/2023 19:00:00","BZN|GR","Without Sequence","99.77","",""
"25/12/2023 19:00:00 - 25/12/2023 20:00:00","BZN|GR","Without Sequence","99.23","",""
"25/12/2023 20:00:00 - 25/12/2023 21:00:00","BZN|GR","Without Sequence","115.00","",""
"25/12/2023 21:00:00 - 25/12/2023 22:00:00","BZN|GR","Without Sequence","137.00","",""
"25/12/2023 22:00:00 - 25/12/2023 23:00:00","BZN|GR","Without Sequence","135.00","",""
"25/12/2023 23:00:00 - 26/12/2023 00:00:00","BZN|GR","Without Sequence","113.71","",""
