"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"26/12/2023 00:00:00 - 26/12/2023 01:00:00","BZN|GR","Without Sequence","107.40","",""
"26/12/2023 01:00:00 - 26/12/2023 02:00:00","BZN|GR","Without Sequence","105.93","",""
"26/12/2023 02:00:00 - 26/12/2023 03:00:00","BZN|GR","Without Sequence","103.00","",""
"26/12/2023 03:00:00 - 26/12/2023 04:00:00","BZN|GR","Without Sequence","100.00","",""
"26/12/2023 04:00:00 - 26/12/2023 05:00:00","BZN|GR","Without Sequence","100.00","",""
"26/12/2023 05:00:00 - 26/12/2023 06:00:00","BZN|GR","Without Sequence","104.19","",""
"26/12/2023 06:00:00 - 26/12/2023 07:00:00","BZN|GR","Without Sequence","105.31","",""
"26/12/2023 07:00:00 - 26/12/2023 08:00:00","BZN|GR","Without Sequence","107.01","",""
"26/12/2023 08:00:00 - 26/12/2023 09:00:00","BZN|GR","Without Sequence","99.78","",""
"26/12/2023 09:00:00 - 26/12/2023 10:00:00","BZN|GR","Without Sequence","7.18","",""
"26/12/2023 10:00:00 - 26/12/2023 11:00:00","BZN|GR","Without Sequence","6.72","",""
"26/12/2023 11:00:00 - 26/12/2023 12:00:00","BZN|GR","Without Sequence","3.21","",""
"26/12/2023 12:00:00 - 26/12/2023 13:00:00","BZN|GR","Without Sequence","2.47","",""
"26/12/2023 13:00:00 - 26/12/2023 14:00:00","BZN|GR","Without Sequence","2.00","",""
"26/12/2023 14:00:00 - 26/12/2023 15:00:00","BZN|GR","Without Sequence","107.37","",""
"26/12/2023 15:00:00 - 26/12/2023 16:00:00","BZN|GR","Without Sequence","110.51","",""
"26/12/2023 16:00:00 - 26/12/2023 17:00:00","BZN|GR","Without Sequence","135.28","",""
"26/12/2023 17:00:00 - 26/12/2023 18:00:00","BZN|GR","Without Sequence","99.66","",""
"26/12/2023 18:00:00 - 26/12/2023 19:00:00","BZN|GR","Without Sequence","100.22","",""
"26/12/2023 19:00:00 - 26/12/2023 20:00:00","BZN|GR","Without Sequence","95.07","",""
"26/12/2023 20:00:00 - 26/12/2023 21:00:00","BZN|GR","Without Sequence","119.80","",""
"26/12/2023 21:00:00 - 26/12/2023 22:00:00","BZN|GR","Without Sequence","127.90","",""
"26/12/2023 22:00:00 - 26/12/2023 23:00:00","BZN|GR","Without Sequence","135.28","",""
"26/12/2023 23:00:00 - 27/12/2023 00:00:00","BZN|GR","Without Sequence","111.49","",""
