"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"17/01/2024 00:00:00 - 17/01/2024 01:00:00","BZN|GR","Without Sequence","107.51","",""
"17/01/2024 01:00:00 - 17/01/2024 02:00:00","BZN|GR","Without Sequence","106.53","",""
"17/01/2024 02:00:00 - 17/01/2024 03:00:00","BZN|GR","Without Sequence","104.81","",""
"17/01/2024 03:00:00 - 17/01/2024 04:00:00","BZN|GR","Without Sequence","103.07","",""
"17/01/2024 04:00:00 - 17/01/2024 05:00:00","BZN|GR","Without Sequence","106.00","",""
"17/01/2024 05:00:00 - 17/01/2024 06:00:00","BZN|GR","Without Sequence","139.38","",""
"17/01/2024 06:00:00 - 17/01/2024 07:00:00","BZN|GR","Without Sequence","182.96","",""
"17/01/2024 07:00:00 - 17/01/2024 08:00:00","BZN|GR","Without Sequence","190.96","",""
"17/01/2024 08:00:00 - 17/01/2024 09:00:00","BZN|GR","Without Sequence","151.82","",""
"17/01/2024 09:00:00 - 17/01/2024 10:00:00","BZN|GR","Without Sequence","115.47","",""
"17/01/2024 10:00:00 - 17/01/2024 11:00:00","BZN|GR","Without Sequence","110.33","",""
"17/01/2024 11:00:00 - 17/01/2024 12:00:00","BZN|GR","Without Sequence","111.10","",""
"17/01/2024 12:00:00 - 17/01/2024 13:00:00","BZN|GR","Without Sequence","105.68","",""
"17/01/2024 13:00:00 - 17/01/2024 14:00:00","BZN|GR","Without Sequence","106.58","",""
"17/01/2024 14:00:00 - 17/01/2024 15:00:00","BZN|GR","Without Sequence","108.84","",""
"17/01/2024 15:00:00 - 17/01/2024 16:00:00","BZN|GR","Without Sequence","119.03","",""
"17/01/2024 16:00:00 - 17/01/2024 17:00:00","BZN|GR","Without Sequence","122.00","",""
"17/01/2024 17:00:00 - 17/01/2024 18:00:00","BZN|GR","Without Sequence","132.28","",""
"17/01/2024 18:00:00 - 17/01/2024 19:00:00","BZN|GR","Without Sequence","122.00","",""
"17/01/2024 19:00:00 - 17/01/2024 20:00:00","BZN|GR","Without Sequence","114.39","",""
"17/01/2024 20:00:00 - 17/01/2024 21:00:00","BZN|GR","Without Sequence","108.06","",""
"17/01/2024 21:00:00 - 17/01/2024 22:00:00","BZN|GR","Without Sequence","100.00","",""
"17/01/2024 22:00:00 - 17/01/2024 23:00:00","BZN|GR","Without Sequence","92.79","",""
"17/01/2024 23:00:00 - 18/01/2024 00:00:00","BZN|GR","Without Sequence","83.46","",""
