"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"16/01/2024 00:00:00 - 16/01/2024 01:00:00","BZN|GR","Without Sequence","82.72","",""
"16/01/2024 01:00:00 - 16/01/2024 02:00:00","BZN|GR","Without Sequence","81.63","",""
"16/01/2024 02:00:00 - 16/01/2024 03:00:00","BZN|GR","Without Sequence","80.17","",""
"16/01/2024 03:00:00 - 16/01/2024 04:00:00","BZN|GR","Without Sequence","78.31","",""
"16/01/2024 04:00:00 - 16/01/2024 05:00:00","BZN|GR","Without Sequence","77.51","",""
"16/01/2024 05:00:00 - 16/01/2024 06:00:00","BZN|GR","Without Sequence","90.00","",""
"16/01/2024 06:00:00 - 16/01/2024 07:00:00","BZN|GR","Without Sequence","103.77","",""
"16/01/2024 07:00:00 - 16/01/2024 08:00:00","BZN|GR","Without Sequence","117.00","",""
"16/01/2024 08:00:00 - 16/01/2024 09:00:00","BZN|GR","Without Sequence","120.68","",""
"16/01/2024 09:00:00 - 16/01/2024 10:00:00","BZN|GR","Without Sequence","104.72","",""
"16/01/2024 10:00:00 - 16/01/2024 11:00:00","BZN|GR","Without Sequence","106.19","",""
"16/01/2024 11:00:00 - 16/01/2024 12:00:00","BZN|GR","Without Sequence","105.79","",""
"16/01/2024 12:00:00 - 16/01/2024 13:00:00","BZN|GR","Without Sequence","102.36","",""
"16/01/2024 13:00:00 - 16/01/2024 14:00:00","BZN|GR","Without Sequence","102.71","",""
"16/01/2024 14:00:00 - 16/01/2024 15:00:00","BZN|GR","Without Sequence","105.30","",""
"16/01/2024 15:00:00 - 16/01/2024 16:00:00","BZN|GR","Without Sequence","111.85","",""
"16/01/2024 16:00:00 - 16/01/2024 17:00:00","BZN|GR","Without Sequence","122.05","",""
"16/01/2024 17:00:00 - 16/01/2024 18:00:00","BZN|GR","Without Sequence","133.00","",""
"16/01/2024 18:00:00 - 16/01/2024 19:00:00","BZN|GR","Without Sequence","135.58","",""
"16/01/2024 19:00:00 - 16/01/2024 20:00:00","BZN|GR","Without Sequence","128.97","",""
"16/01/2024 20:00:00 - 16/01/2024 21:00:00","BZN|GR","Without Sequence","122.00","",""
"16/01/2024 21:00:00 - 16/01/2024 22:00:00","BZN|GR","Without Sequence","107.19","",""
"16/01/2024 22:00:00 - 16/01/2024 23:00:00","BZN|GR","Without Sequence","103.07","",""
"16/01/2024 23:00:00 - 17/01/2024 00:00:00","BZN|GR","Without Sequence","98.01","",""
