"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"11/01/2024 00:00:00 - 11/01/2024 01:00:00","BZN|GR","Without Sequence","91.75","",""
"11/01/2024 01:00:00 - 11/01/2024 02:00:00","BZN|GR","Without Sequence","88.59","",""
"11/01/2024 02:00:00 - 11/01/2024 03:00:00","BZN|GR","Without Sequence","87.25","",""
"11/01/2024 03:00:00 - 11/01/2024 04:00:00","BZN|GR","Without Sequence","82.38","",""
"11/01/2024 04:00:00 - 11/01/2024 05:00:00","BZN|GR","Without Sequence","82.06","",""
"11/01/2024 05:00:00 - 11/01/2024 06:00:00","BZN|GR","Without Sequence","90.35","",""
"11/01/2024 06:00:00 - 11/01/2024 07:00:00","BZN|GR","Without Sequence","111.57","",""
"11/01/2024 07:00:00 - 11/01/2024 08:00:00","BZN|GR","Without Sequence","116.89","",""
"11/01/2024 08:00:00 - 11/01/2024 09:00:00","BZN|GR","Without Sequence","141.00","",""
"11/01/2024 09:00:00 - 11/01/2024 10:00:00","BZN|GR","Without Sequence","114.67","",""
"11/01/2024 10:00:00 - 11/01/2024 11:00:00","BZN|GR","Without Sequence","103.77","",""
"11/01/2024 11:00:00 - 11/01/2024 12:00:00","BZN|GR","Without Sequence","103.86","",""
"11/01/2024 12:00:00 - 11/01/2024 13:00:00","BZN|GR","Without Sequence","99.38","",""
"11/01/2024 13:00:00 - 11/01/2024 14:00:00","BZN|GR","Without Sequence","99.00","",""
"11/01/2024 14:00:00 - 11/01/2024 15:00:00","BZN|GR","Without Sequence","105.98","",""
"11/01/2024 15:00:00 - 11/01/2024 16:00:00","BZN|GR","Without Sequence","119.08","",""
"11/01/2024 16:00:00 - 11/01/2024 17:00:00","BZN|GR","Without Sequence","147.05","",""
"11/01/2024 17:00:00 - 11/01/2024 18:00:00","BZN|GR","Without Sequence","158.09","",""
"11/01/2024 18:00:00 - 11/01/2024 19:00:00","BZN|GR","Without Sequence","142.00","",""
"11/01/2024 19:00:00 - 11/01/2024 20:00:00","BZN|GR","Without Sequence","132.31","",""
"11/01/2024 20:00:00 - 11/01/2024 21:00:00","BZN|GR","Without Sequence","122.00","",""
"11/01/2024 21:00:00 - 11/01/2024 22:00:00","BZN|GR","Without Sequence","107.19","",""
"11/01/2024 22:00:00 - 11/01/2024 23:00:00","BZN|GR","Without Sequence","105.98","",""
"11/01/2024 23:00:00 - 12/01/2024 00:00:00","BZN|GR","Without Sequence","99.00","",""
