"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"02/01/2024 00:00:00 - 02/01/2024 01:00:00","BZN|GR","Without Sequence","55.00","",""
"02/01/2024 01:00:00 - 02/01/2024 02:00:00","BZN|GR","Without Sequence","90.09","",""
"02/01/2024 02:00:00 - 02/01/2024 03:00:00","BZN|GR","Without Sequence","84.27","",""
"02/01/2024 03:00:00 - 02/01/2024 04:00:00","BZN|GR","Without Sequence","40.82","",""
"02/01/2024 04:00:00 - 02/01/2024 05:00:00","BZN|GR","Without Sequence","84.27","",""
"02/01/2024 05:00:00 - 02/01/2024 06:00:00","BZN|GR","Without Sequence","100.00","",""
"02/01/2024 06:00:00 - 02/01/2024 07:00:00","BZN|GR","Without Sequence","108.28","",""
"02/01/2024 07:00:00 - 02/01/2024 08:00:00","BZN|GR","Without Sequence","113.85","",""
"02/01/2024 08:00:00 - 02/01/2024 09:00:00","BZN|GR","Without Sequence","107.42","",""
"02/01/2024 09:00:00 - 02/01/2024 10:00:00","BZN|GR","Without Sequence","76.36","",""
"02/01/2024 10:00:00 - 02/01/2024 11:00:00","BZN|GR","Without Sequence","75.60","",""
"02/01/2024 11:00:00 - 02/01/2024 12:00:00","BZN|GR","Without Sequence","77.87","",""
"02/01/2024 12:00:00 - 02/01/2024 13:00:00","BZN|GR","Without Sequence","80.27","",""
"02/01/2024 13:00:00 - 02/01/2024 14:00:00","BZN|GR","Without Sequence","81.27","",""
"02/01/2024 14:00:00 - 02/01/2024 15:00:00","BZN|GR","Without Sequence","95.12","",""
"02/01/2024 15:00:00 - 02/01/2024 16:00:00","BZN|GR","Without Sequence","102.56","",""
"02/01/2024 16:00:00 - 02/01/2024 17:00:00","BZN|GR","Without Sequence","102.38","",""
"02/01/2024 17:00:00 - 02/01/2024 18:00:00","BZN|GR","Without Sequence","103.32","",""
"02/01/2024 18:00:00 - 02/01/2024 19:00:00","BZN|GR","Without Sequence","103.58","",""
"02/01/2024 19:00:00 - 02/01/2024 20:00:00","BZN|GR","Without Sequence","106.06","",""
"02/01/2024 20:00:00 - 02/01/2024 21:00:00","BZN|GR","Without Sequence","104.96","",""
"02/01/2024 21:00:00 - 02/01/2024 22:00:00","BZN|GR","Without Sequence","102.20","",""
"02/01/2024 22:00:00 - 02/01/2024 23:00:00","BZN|GR","Without Sequence","101.97","",""
"02/01/2024 23:00:00 - 03/01/2024 00:00:00","BZN|GR","Without Sequence","92.41","",""
