"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"09/01/2024 00:00:00 - 09/01/2024 01:00:00","BZN|GR","Without Sequence","87.53","",""
"09/01/2024 01:00:00 - 09/01/2024 02:00:00","BZN|GR","Without Sequence","86.18","",""
"09/01/2024 02:00:00 - 09/01/2024 03:00:00","BZN|GR","Without Sequence","85.01","",""
"09/01/2024 03:00:00 - 09/01/2024 04:00:00","BZN|GR","Without Sequence","84.09","",""
"09/01/2024 04:00:00 - 09/01/2024 05:00:00","BZN|GR","Without Sequence","85.16","",""
"09/01/2024 05:00:00 - 09/01/2024 06:00:00","BZN|GR","Without Sequence","89.56","",""
"09/01/2024 06:00:00 - 09/01/2024 07:00:00","BZN|GR","Without Sequence","107.40","",""
"09/01/2024 07:00:00 - 09/01/2024 08:00:00","BZN|GR","Without Sequence","122.01","",""
"09/01/2024 08:00:00 - 09/01/2024 09:00:00","BZN|GR","Without Sequence","132.85","",""
"09/01/2024 09:00:00 - 09/01/2024 10:00:00","BZN|GR","Without Sequence","120.85","",""
"09/01/2024 10:00:00 - 09/01/2024 11:00:00","BZN|GR","Without Sequence","112.10","",""
"09/01/2024 11:00:00 - 09/01/2024 12:00:00","BZN|GR","Without Sequence","104.97","",""
"09/01/2024 12:00:00 - 09/01/2024 13:00:00","BZN|GR","Without Sequence","99.69","",""
"09/01/2024 13:00:00 - 09/01/2024 14:00:00","BZN|GR","Without Sequence","100.18","",""
"09/01/2024 14:00:00 - 09/01/2024 15:00:00","BZN|GR","Without Sequence","110.00","",""
"09/01/2024 15:00:00 - 09/01/2024 16:00:00","BZN|GR","Without Sequence","114.25","",""
"09/01/2024 16:00:00 - 09/01/2024 17:00:00","BZN|GR","Without Sequence","127.36","",""
"09/01/2024 17:00:00 - 09/01/2024 18:00:00","BZN|GR","Without Sequence","137.35","",""
"09/01/2024 18:00:00 - 09/01/2024 19:00:00","BZN|GR","Without Sequence","137.00","",""
"09/01/2024 19:00:00 - 09/01/2024 20:00:00","BZN|GR","Without Sequence","130.05","",""
"09/01/2024 20:00:00 - 09/01/2024 21:00:00","BZN|GR","Without Sequence","117.67","",""
"09/01/2024 21:00:00 - 09/01/2024 22:00:00","BZN|GR","Without Sequence","109.18","",""
"09/01/2024 22:00:00 - 09/01/2024 23:00:00","BZN|GR","Without Sequence","105.61","",""
"09/01/2024 23:00:00 - 10/01/2024 00:00:00","BZN|GR","Without Sequence","96.58","",""
