"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"20/01/2024 00:00:00 - 20/01/2024 01:00:00","BZN|GR","Without Sequence","69.13","",""
"20/01/2024 01:00:00 - 20/01/2024 02:00:00","BZN|GR","Without Sequence","85.40","",""
"20/01/2024 02:00:00 - 20/01/2024 03:00:00","BZN|GR","Without Sequence","77.75","",""
"20/01/2024 03:00:00 - 20/01/2024 04:00:00","BZN|GR","Without Sequence","62.71","",""
"20/01/2024 04:00:00 - 20/01/2024 05:00:00","BZN|GR","Without Sequence","76.93","",""
"20/01/2024 05:00:00 - 20/01/2024 06:00:00","BZN|GR","Without Sequence","76.93","",""
"20/01/2024 06:00:00 - 20/01/2024 07:00:00","BZN|GR","Without Sequence","85.66","",""
"20/01/2024 07:00:00 - 20/01/2024 08:00:00","BZN|GR","Without Sequence","69.15","",""
"20/01/2024 08:00:00 - 20/01/2024 09:00:00","BZN|GR","Without Sequence","85.65","",""
"20/01/2024 09:00:00 - 20/01/2024 10:00:00","BZN|GR","Without Sequence","99.00","",""
"20/01/2024 10:00:00 - 20/01/2024 11:00:00","BZN|GR","Without Sequence","95.92","",""
"20/01/2024 11:00:00 - 20/01/2024 12:00:00","BZN|GR","Without Sequence","100.00","",""
"20/01/2024 12:00:00 - 20/01/2024 13:00:00","BZN|GR","Without Sequence","96.43","",""
"20/01/2024 13:00:00 - 20/01/2024 14:00:00","BZN|GR","Without Sequence","90.00","",""
"20/01/2024 14:00:00 - 20/01/2024 15:00:00","BZN|GR","Without Sequence","97.86","",""
"20/01/2024 15:00:00 - 20/01/2024 16:00:00","BZN|GR","Without Sequence","90.85","",""
"20/01/2024 16:00:00 - 20/01/2024 17:00:00","BZN|GR","Without Sequence","99.99","",""
"20/01/2024 17:00:00 - 20/01/2024 18:00:00","BZN|GR","Without Sequence","105.00","",""
"20/01/2024 18:00:00 - 20/01/2024 19:00:00","BZN|GR","Without Sequence","104.96","",""
"20/01/2024 19:00:00 - 20/01/2024 20:00:00","BZN|GR","Without Sequence","93.23","",""
"20/01/2024 20:00:00 - 20/01/2024 21:00:00","BZN|GR","Without Sequence","88.97","",""
"20/01/2024 21:00:00 - 20/01/2024 22:00:00","BZN|GR","Without Sequence","76.44","",""
"20/01/2024 22:00:00 - 20/01/2024 23:00:00","BZN|GR","Without Sequence","75.43","",""
"20/01/2024 23:00:00 - 21/01/2024 00:00:00","BZN|GR","Without Sequence","69.13","",""
