"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"18/01/2024 00:00:00 - 18/01/2024 01:00:00","BZN|GR","Without Sequence","80.16","",""
"18/01/2024 01:00:00 - 18/01/2024 02:00:00","BZN|GR","Without Sequence","77.02","",""
"18/01/2024 02:00:00 - 18/01/2024 03:00:00","BZN|GR","Without Sequence","74.73","",""
"18/01/2024 03:00:00 - 18/01/2024 04:00:00","BZN|GR","Without Sequence","74.18","",""
"18/01/2024 04:00:00 - 18/01/2024 05:00:00","BZN|GR","Without Sequence","75.96","",""
"18/01/2024 05:00:00 - 18/01/2024 06:00:00","BZN|GR","Without Sequence","81.37","",""
"18/01/2024 06:00:00 - 18/01/2024 07:00:00","BZN|GR","Without Sequence","99.00","",""
"18/01/2024 07:00:00 - 18/01/2024 08:00:00","BZN|GR","Without Sequence","112.71","",""
"18/01/2024 08:00:00 - 18/01/2024 09:00:00","BZN|GR","Without Sequence","125.00","",""
"18/01/2024 09:00:00 - 18/01/2024 10:00:00","BZN|GR","Without Sequence","105.72","",""
"18/01/2024 10:00:00 - 18/01/2024 11:00:00","BZN|GR","Without Sequence","100.00","",""
"18/01/2024 11:00:00 - 18/01/2024 12:00:00","BZN|GR","Without Sequence","76.71","",""
"18/01/2024 12:00:00 - 18/01/2024 13:00:00","BZN|GR","Without Sequence","61.68","",""
"18/01/2024 13:00:00 - 18/01/2024 14:00:00","BZN|GR","Without Sequence","62.70","",""
"18/01/2024 14:00:00 - 18/01/2024 15:00:00","BZN|GR","Without Sequence","90.53","",""
"18/01/2024 15:00:00 - 18/01/2024 16:00:00","BZN|GR","Without Sequence","103.09","",""
"18/01/2024 16:00:00 - 18/01/2024 17:00:00","BZN|GR","Without Sequence","101.71","",""
"18/01/2024 17:00:00 - 18/01/2024 18:00:00","BZN|GR","Without Sequence","113.14","",""
"18/01/2024 18:00:00 - 18/01/2024 19:00:00","BZN|GR","Without Sequence","108.87","",""
"18/01/2024 19:00:00 - 18/01/2024 20:00:00","BZN|GR","Without Sequence","106.33","",""
"18/01/2024 20:00:00 - 18/01/2024 21:00:00","BZN|GR","Without Sequence","100.31","",""
"18/01/2024 21:00:00 - 18/01/2024 22:00:00","BZN|GR","Without Sequence","84.56","",""
"18/01/2024 22:00:00 - 18/01/2024 23:00:00","BZN|GR","Without Sequence","82.48","",""
"18/01/2024 23:00:00 - 19/01/2024 00:00:00","BZN|GR","Without Sequence","73.61","",""
