"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"15/01/2024 00:00:00 - 15/01/2024 01:00:00","BZN|GR","Without Sequence","70.49","",""
"15/01/2024 01:00:00 - 15/01/2024 02:00:00","BZN|GR","Without Sequence","66.78","",""
"15/01/2024 02:00:00 - 15/01/2024 03:00:00","BZN|GR","Without Sequence","64.57","",""
"15/01/2024 03:00:00 - 15/01/2024 04:00:00","BZN|GR","Without Sequence","62.04","",""
"15/01/2024 04:00:00 - 15/01/2024 05:00:00","BZN|GR","Without Sequence","62.72","",""
"15/01/2024 05:00:00 - 15/01/2024 06:00:00","BZN|GR","Without Sequence","84.90","",""
"15/01/2024 06:00:00 - 15/01/2024 07:00:00","BZN|GR","Without Sequence","122.00","",""
"15/01/2024 07:00:00 - 15/01/2024 08:00:00","BZN|GR","Without Sequence","114.09","",""
"15/01/2024 08:00:00 - 15/01/2024 09:00:00","BZN|GR","Without Sequence","122.00","",""
"15/01/2024 09:00:00 - 15/01/2024 10:00:00","BZN|GR","Without Sequence","104.93","",""
"15/01/2024 10:00:00 - 15/01/2024 11:00:00","BZN|GR","Without Sequence","99.86","",""
"15/01/2024 11:00:00 - 15/01/2024 12:00:00","BZN|GR","Without Sequence","90.27","",""
"15/01/2024 12:00:00 - 15/01/2024 13:00:00","BZN|GR","Without Sequence","88.91","",""
"15/01/2024 13:00:00 - 15/01/2024 14:00:00","BZN|GR","Without Sequence","90.78","",""
"15/01/2024 14:00:00 - 15/01/2024 15:00:00","BZN|GR","Without Sequence","99.70","",""
"15/01/2024 15:00:00 - 15/01/2024 16:00:00","BZN|GR","Without Sequence","98.07","",""
"15/01/2024 16:00:00 - 15/01/2024 17:00:00","BZN|GR","Without Sequence","105.26","",""
"15/01/2024 17:00:00 - 15/01/2024 18:00:00","BZN|GR","Without Sequence","113.95","",""
"15/01/2024 18:00:00 - 15/01/2024 19:00:00","BZN|GR","Without Sequence","114.62","",""
"15/01/2024 19:00:00 - 15/01/2024 20:00:00","BZN|GR","Without Sequence","113.79","",""
"15/01/2024 20:00:00 - 15/01/2024 21:00:00","BZN|GR","Without Sequence","103.70","",""
"15/01/2024 21:00:00 - 15/01/2024 22:00:00","BZN|GR","Without Sequence","93.92","",""
"15/01/2024 22:00:00 - 15/01/2024 23:00:00","BZN|GR","Without Sequence","91.42","",""
"15/01/2024 23:00:00 - 16/01/2024 00:00:00","BZN|GR","Without Sequence","87.74","",""
