"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"13/01/2024 00:00:00 - 13/01/2024 01:00:00","BZN|GR","Without Sequence","90.00","",""
"13/01/2024 01:00:00 - 13/01/2024 02:00:00","BZN|GR","Without Sequence","87.70","",""
"13/01/2024 02:00:00 - 13/01/2024 03:00:00","BZN|GR","Without Sequence","82.00","",""
"13/01/2024 03:00:00 - 13/01/2024 04:00:00","BZN|GR","Without Sequence","78.47","",""
"13/01/2024 04:00:00 - 13/01/2024 05:00:00","BZN|GR","Without Sequence","83.40","",""
"13/01/2024 05:00:00 - 13/01/2024 06:00:00","BZN|GR","Without Sequence","83.90","",""
"13/01/2024 06:00:00 - 13/01/2024 07:00:00","BZN|GR","Without Sequence","95.52","",""
"13/01/2024 07:00:00 - 13/01/2024 08:00:00","BZN|GR","Without Sequence","104.93","",""
"13/01/2024 08:00:00 - 13/01/2024 09:00:00","BZN|GR","Without Sequence","107.63","",""
"13/01/2024 09:00:00 - 13/01/2024 10:00:00","BZN|GR","Without Sequence","88.34","",""
"13/01/2024 10:00:00 - 13/01/2024 11:00:00","BZN|GR","Without Sequence","84.54","",""
"13/01/2024 11:00:00 - 13/01/2024 12:00:00","BZN|GR","Without Sequence","76.05","",""
"13/01/2024 12:00:00 - 13/01/2024 13:00:00","BZN|GR","Without Sequence","76.53","",""
"13/01/2024 13:00:00 - 13/01/2024 14:00:00","BZN|GR","Without Sequence","83.40","",""
"13/01/2024 14:00:00 - 13/01/2024 15:00:00","BZN|GR","Without Sequence","92.23","",""
"13/01/2024 15:00:00 - 13/01/2024 16:00:00","BZN|GR","Without Sequence","122.00","",""
"13/01/2024 16:00:00 - 13/01/2024 17:00:00","BZN|GR","Without Sequence","122.01","",""
"13/01/2024 17:00:00 - 13/01/2024 18:00:00","BZN|GR","Without Sequence","130.00","",""
"13/01/2024 18:00:00 - 13/01/2024 19:00:00","BZN|GR","Without Sequence","135.00","",""
"13/01/2024 19:00:00 - 13/01/2024 20:00:00","BZN|GR","Without Sequence","134.00","",""
"13/01/2024 20:00:00 - 13/01/2024 21:00:00","BZN|GR","Without Sequence","122.01","",""
"13/01/2024 21:00:00 - 13/01/2024 22:00:00","BZN|GR","Without Sequence","105.00","",""
"13/01/2024 22:00:00 - 13/01/2024 23:00:00","BZN|GR","Without Sequence","104.36","",""
"13/01/2024 23:00:00 - 14/01/2024 00:00:00","BZN|GR","Without Sequence","100.29","",""
