"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"03/01/2024 00:00:00 - 03/01/2024 01:00:00","BZN|GR","Without Sequence","82.50","",""
"03/01/2024 01:00:00 - 03/01/2024 02:00:00","BZN|GR","Without Sequence","70.10","",""
"03/01/2024 02:00:00 - 03/01/2024 03:00:00","BZN|GR","Without Sequence","50.21","",""
"03/01/2024 03:00:00 - 03/01/2024 04:00:00","BZN|GR","Without Sequence","40.00","",""
"03/01/2024 04:00:00 - 03/01/2024 05:00:00","BZN|GR","Without Sequence","50.00","",""
"03/01/2024 05:00:00 - 03/01/2024 06:00:00","BZN|GR","Without Sequence","75.00","",""
"03/01/2024 06:00:00 - 03/01/2024 07:00:00","BZN|GR","Without Sequence","95.46","",""
"03/01/2024 07:00:00 - 03/01/2024 08:00:00","BZN|GR","Without Sequence","107.15","",""
"03/01/2024 08:00:00 - 03/01/2024 09:00:00","BZN|GR","Without Sequence","101.01","",""
"03/01/2024 09:00:00 - 03/01/2024 10:00:00","BZN|GR","Without Sequence","65.00","",""
"03/01/2024 10:00:00 - 03/01/2024 11:00:00","BZN|GR","Without Sequence","99.15","",""
"03/01/2024 11:00:00 - 03/01/2024 12:00:00","BZN|GR","Without Sequence","87.25","",""
"03/01/2024 12:00:00 - 03/01/2024 13:00:00","BZN|GR","Without Sequence","75.33","",""
"03/01/2024 13:00:00 - 03/01/2024 14:00:00","BZN|GR","Without Sequence","86.97","",""
"03/01/2024 14:00:00 - 03/01/2024 15:00:00","BZN|GR","Without Sequence","90.96","",""
"03/01/2024 15:00:00 - 03/01/2024 16:00:00","BZN|GR","Without Sequence","72.23","",""
"03/01/2024 16:00:00 - 03/01/2024 17:00:00","BZN|GR","Without Sequence","83.06","",""
"03/01/2024 17:00:00 - 03/01/2024 18:00:00","BZN|GR","Without Sequence","90.78","",""
"03/01/2024 18:00:00 - 03/01/2024 19:00:00","BZN|GR","Without Sequence","96.46","",""
"03/01/2024 19:00:00 - 03/01/2024 20:00:00","BZN|GR","Without Sequence","97.06","",""
"03/01/2024 20:00:00 - 03/01/2024 21:00:00","BZN|GR","Without Sequence","96.45","",""
"03/01/2024 21:00:00 - 03/01/2024 22:00:00","BZN|GR","Without Sequence","103.61","",""
"03/01/2024 22:00:00 - 03/01/2024 23:00:00","BZN|GR","Without Sequence","101.05","",""
"03/01/2024 23:00:00 - 04/01/2024 00:00:00","BZN|GR","Without Sequence","82.59","",""
