"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"30/12/2023 00:00:00 - 30/12/2023 01:00:00","BZN|GR","Without Sequence","105.78","",""
"30/12/2023 01:00:00 - 30/12/2023 02:00:00","BZN|GR","Without Sequence","104.73","",""
"30/12/2023 02:00:00 - 30/12/2023 03:00:00","BZN|GR","Without Sequence","100.00","",""
"30/12/2023 03:00:00 - 30/12/2023 04:00:00","BZN|GR","Without Sequence","93.65","",""
"30/12/2023 04:00:00 - 30/12/2023 05:00:00","BZN|GR","Without Sequence","95.00","",""
"30/12/2023 05:00:00 - 30/12/2023 06:00:00","BZN|GR","Without Sequence","104.00","",""
"30/12/2023 06:00:00 - 30/12/2023 07:00:00","BZN|GR","Without Sequence","58.65","",""
"30/12/2023 07:00:00 - 30/12/2023 08:00:00","BZN|GR","Without Sequence","108.21","",""
"30/12/2023 08:00:00 - 30/12/2023 09:00:00","BZN|GR","Without Sequence","108.96","",""
"30/12/2023 09:00:00 - 30/12/2023 10:00:00","BZN|GR","Without Sequence","112.48","",""
"30/12/2023 10:00:00 - 30/12/2023 11:00:00","BZN|GR","Without Sequence","107.01","",""
"30/12/2023 11:00:00 - 30/12/2023 12:00:00","BZN|GR","Without Sequence","87.00","",""
"30/12/2023 12:00:00 - 30/12/2023 13:00:00","BZN|GR","Without Sequence","101.01","",""
"30/12/2023 13:00:00 - 30/12/2023 14:00:00","BZN|GR","Without Sequence","106.93","",""
"30/12/2023 14:00:00 - 30/12/2023 15:00:00","BZN|GR","Without Sequence","108.76","",""
"30/12/2023 15:00:00 - 30/12/2023 16:00:00","BZN|GR","Without Sequence","109.46","",""
"30/12/2023 16:00:00 - 30/12/2023 17:00:00","BZN|GR","Without Sequence","115.00","",""
"30/12/2023 17:00:00 - 30/12/2023 18:00:00","BZN|GR","Without Sequence","132.00","",""
"30/12/2023 18:00:00 - 30/12/2023 19:00:00","BZN|GR","Without Sequence","131.54","",""
"30/12/2023 19:00:00 - 30/12/2023 20:00:00","BZN|GR","Without Sequence","124.93","",""
"30/12/2023 20:00:00 - 30/12/2023 21:00:00","BZN|GR","Without Sequence","125.35","",""
"30/12/2023 21:00:00 - 30/12/2023 22:00:00","BZN|GR","Without Sequence","113.29","",""
"30/12/2023 22:00:00 - 30/12/2023 23:00:00","BZN|GR","Without Sequence","110.00","",""
"30/12/2023 23:00:00 - 31/12/2023 00:00:00","BZN|GR","Without Sequence","108.81","",""
