"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"14/01/2024 00:00:00 - 14/01/2024 01:00:00","BZN|GR","Without Sequence","103.00","",""
"14/01/2024 01:00:00 - 14/01/2024 02:00:00","BZN|GR","Without Sequence","100.65","",""
"14/01/2024 02:00:00 - 14/01/2024 03:00:00","BZN|GR","Without Sequence","99.83","",""
"14/01/2024 03:00:00 - 14/01/2024 04:00:00","BZN|GR","Without Sequence","96.79","",""
"14/01/2024 04:00:00 - 14/01/2024 05:00:00","BZN|GR","Without Sequence","96.25","",""
"14/01/2024 05:00:00 - 14/01/2024 06:00:00","BZN|GR","Without Sequence","95.25","",""
"14/01/2024 06:00:00 - 14/01/2024 07:00:00","BZN|GR","Without Sequence","103.43","",""
"14/01/2024 07:00:00 - 14/01/2024 08:00:00","BZN|GR","Without Sequence","104.73","",""
"14/01/2024 08:00:00 - 14/01/2024 09:00:00","BZN|GR","Without Sequence","76.96","",""
"14/01/2024 09:00:00 - 14/01/2024 10:00:00","BZN|GR","Without Sequence","82.24","",""
"14/01/2024 10:00:00 - 14/01/2024 11:00:00","BZN|GR","Without Sequence","90.01","",""
"14/01/2024 11:00:00 - 14/01/2024 12:00:00","BZN|GR","Without Sequence","69.50","",""
"14/01/2024 12:00:00 - 14/01/2024 13:00:00","BZN|GR","Without Sequence","73.88","",""
"14/01/2024 13:00:00 - 14/01/2024 14:00:00","BZN|GR","Without Sequence","77.04","",""
"14/01/2024 14:00:00 - 14/01/2024 15:00:00","BZN|GR","Without Sequence","79.15","",""
"14/01/2024 15:00:00 - 14/01/2024 16:00:00","BZN|GR","Without Sequence","104.74","",""
"14/01/2024 16:00:00 - 14/01/2024 17:00:00","BZN|GR","Without Sequence","100.97","",""
"14/01/2024 17:00:00 - 14/01/2024 18:00:00","BZN|GR","Without Sequence","111.00","",""
"14/01/2024 18:00:00 - 14/01/2024 19:00:00","BZN|GR","Without Sequence","111.93","",""
"14/01/2024 19:00:00 - 14/01/2024 20:00:00","BZN|GR","Without Sequence","109.76","",""
"14/01/2024 20:00:00 - 14/01/2024 21:00:00","BZN|GR","Without Sequence","103.98","",""
"14/01/2024 21:00:00 - 14/01/2024 22:00:00","BZN|GR","Without Sequence","108.23","",""
"14/01/2024 22:00:00 - 14/01/2024 23:00:00","BZN|GR","Without Sequence","101.51","",""
"14/01/2024 23:00:00 - 15/01/2024 00:00:00","BZN|GR","Without Sequence","97.90","",""
