"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"31/12/2023 00:00:00 - 31/12/2023 01:00:00","BZN|GR","Without Sequence","109.12","",""
"31/12/2023 01:00:00 - 31/12/2023 02:00:00","BZN|GR","Without Sequence","107.06","",""
"31/12/2023 02:00:00 - 31/12/2023 03:00:00","BZN|GR","Without Sequence","105.45","",""
"31/12/2023 03:00:00 - 31/12/2023 04:00:00","BZN|GR","Without Sequence","100.00","",""
"31/12/2023 04:00:00 - 31/12/2023 05:00:00","BZN|GR","Without Sequence","95.00","",""
"31/12/2023 05:00:00 - 31/12/2023 06:00:00","BZN|GR","Without Sequence","104.00","",""
"31/12/2023 06:00:00 - 31/12/2023 07:00:00","BZN|GR","Without Sequence","79.08","",""
"31/12/2023 07:00:00 - 31/12/2023 08:00:00","BZN|GR","Without Sequence","107.94","",""
"31/12/2023 08:00:00 - 31/12/2023 09:00:00","BZN|GR","Without Sequence","108.96","",""
"31/12/2023 09:00:00 - 31/12/2023 10:00:00","BZN|GR","Without Sequence","113.80","",""
"31/12/2023 10:00:00 - 31/12/2023 11:00:00","BZN|GR","Without Sequence","108.96","",""
"31/12/2023 11:00:00 - 31/12/2023 12:00:00","BZN|GR","Without Sequence","109.03","",""
"31/12/2023 12:00:00 - 31/12/2023 13:00:00","BZN|GR","Without Sequence","108.62","",""
"31/12/2023 13:00:00 - 31/12/2023 14:00:00","BZN|GR","Without Sequence","107.26","",""
"31/12/2023 14:00:00 - 31/12/2023 15:00:00","BZN|GR","Without Sequence","107.94","",""
"31/12/2023 15:00:00 - 31/12/2023 16:00:00","BZN|GR","Without Sequence","108.62","",""
"31/12/2023 16:00:00 - 31/12/2023 17:00:00","BZN|GR","Without Sequence","117.20","",""
"31/12/2023 17:00:00 - 31/12/2023 18:00:00","BZN|GR","Without Sequence","132.00","",""
"31/12/2023 18:00:00 - 31/12/2023 19:00:00","BZN|GR","Without Sequence","132.78","",""
"31/12/2023 19:00:00 - 31/12/2023 20:00:00","BZN|GR","Without Sequence","123.82","",""
"31/12/2023 20:00:00 - 31/12/2023 21:00:00","BZN|GR","Without Sequence","129.03","",""
"31/12/2023 21:00:00 - 31/12/2023 22:00:00","BZN|GR","Without Sequence","117.23","",""
"31/12/2023 22:00:00 - 31/12/2023 23:00:00","BZN|GR","Without Sequence","108.96","",""
"31/12/2023 23:00:00 - 01/01/2024 00:00:00","BZN|GR","Without Sequence","106.12","",""
