"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"12/01/2024 00:00:00 - 12/01/2024 01:00:00","BZN|GR","Without Sequence","92.99","",""
"12/01/2024 01:00:00 - 12/01/2024 02:00:00","BZN|GR","Without Sequence","93.00","",""
"12/01/2024 02:00:00 - 12/01/2024 03:00:00","BZN|GR","Without Sequence","85.68","",""
"12/01/2024 03:00:00 - 12/01/2024 04:00:00","BZN|GR","Without Sequence","85.36","",""
"12/01/2024 04:00:00 - 12/01/2024 05:00:00","BZN|GR","Without Sequence","87.77","",""
"12/01/2024 05:00:00 - 12/01/2024 06:00:00","BZN|GR","Without Sequence","94.76","",""
"12/01/2024 06:00:00 - 12/01/2024 07:00:00","BZN|GR","Without Sequence","118.46","",""
"12/01/2024 07:00:00 - 12/01/2024 08:00:00","BZN|GR","Without Sequence","122.04","",""
"12/01/2024 08:00:00 - 12/01/2024 09:00:00","BZN|GR","Without Sequence","140.74","",""
"12/01/2024 09:00:00 - 12/01/2024 10:00:00","BZN|GR","Without Sequence","134.96","",""
"12/01/2024 10:00:00 - 12/01/2024 11:00:00","BZN|GR","Without Sequence","117.95","",""
"12/01/2024 11:00:00 - 12/01/2024 12:00:00","BZN|GR","Without Sequence","108.06","",""
"12/01/2024 12:00:00 - 12/01/2024 13:00:00","BZN|GR","Without Sequence","96.36","",""
"12/01/2024 13:00:00 - 12/01/2024 14:00:00","BZN|GR","Without Sequence","94.00","",""
"12/01/2024 14:00:00 - 12/01/2024 15:00:00","BZN|GR","Without Sequence","102.23","",""
"12/01/2024 15:00:00 - 12/01/2024 16:00:00","BZN|GR","Without Sequence","110.00","",""
"12/01/2024 16:00:00 - 12/01/2024 17:00:00","BZN|GR","Without Sequence","120.00","",""
"12/01/2024 17:00:00 - 12/01/2024 18:00:00","BZN|GR","Without Sequence","127.50","",""
"12/01/2024 18:00:00 - 12/01/2024 19:00:00","BZN|GR","Without Sequence","126.00","",""
"12/01/2024 19:00:00 - 12/01/2024 20:00:00","BZN|GR","Without Sequence","119.47","",""
"12/01/2024 20:00:00 - 12/01/2024 21:00:00","BZN|GR","Without Sequence","110.00","",""
"12/01/2024 21:00:00 - 12/01/2024 22:00:00","BZN|GR","Without Sequence","105.24","",""
"12/01/2024 22:00:00 - 12/01/2024 23:00:00","BZN|GR","Without Sequence","101.68","",""
"12/01/2024 23:00:00 - 13/01/2024 00:00:00","BZN|GR","Without Sequence","90.01","",""
