"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"29/12/2023 00:00:00 - 29/12/2023 01:00:00","BZN|GR","Without Sequence","107.31","",""
"29/12/2023 01:00:00 - 29/12/2023 02:00:00","BZN|GR","Without Sequence","109.62","",""
"29/12/2023 02:00:00 - 29/12/2023 03:00:00","BZN|GR","Without Sequence","95.08","",""
"29/12/2023 03:00:00 - 29/12/2023 04:00:00","BZN|GR","Without Sequence","51.74","",""
"29/12/2023 04:00:00 - 29/12/2023 05:00:00","BZN|GR","Without Sequence","60.90","",""
"29/12/2023 05:00:00 - 29/12/2023 06:00:00","BZN|GR","Without Sequence","110.54","",""
"29/12/2023 06:00:00 - 29/12/2023 07:00:00","BZN|GR","Without Sequence","110.65","",""
"29/12/2023 07:00:00 - 29/12/2023 08:00:00","BZN|GR","Without Sequence","120.00","",""
"29/12/2023 08:00:00 - 29/12/2023 09:00:00","BZN|GR","Without Sequence","49.93","",""
"29/12/2023 09:00:00 - 29/12/2023 10:00:00","BZN|GR","Without Sequence","20.00","",""
"29/12/2023 10:00:00 - 29/12/2023 11:00:00","BZN|GR","Without Sequence","9.86","",""
"29/12/2023 11:00:00 - 29/12/2023 12:00:00","BZN|GR","Without Sequence","9.86","",""
"29/12/2023 12:00:00 - 29/12/2023 13:00:00","BZN|GR","Without Sequence","8.55","",""
"29/12/2023 13:00:00 - 29/12/2023 14:00:00","BZN|GR","Without Sequence","9.86","",""
"29/12/2023 14:00:00 - 29/12/2023 15:00:00","BZN|GR","Without Sequence","60.99","",""
"29/12/2023 15:00:00 - 29/12/2023 16:00:00","BZN|GR","Without Sequence","92.92","",""
"29/12/2023 16:00:00 - 29/12/2023 17:00:00","BZN|GR","Without Sequence","95.14","",""
"29/12/2023 17:00:00 - 29/12/2023 18:00:00","BZN|GR","Without Sequence","106.30","",""
"29/12/2023 18:00:00 - 29/12/2023 19:00:00","BZN|GR","Without Sequence","107.61","",""
"29/12/2023 19:00:00 - 29/12/2023 20:00:00","BZN|GR","Without Sequence","111.84","",""
"29/12/2023 20:00:00 - 29/12/2023 21:00:00","BZN|GR","Without Sequence","114.03","",""
"29/12/2023 21:00:00 - 29/12/2023 22:00:00","BZN|GR","Without Sequence","115.25","",""
"29/12/2023 22:00:00 - 29/12/2023 23:00:00","BZN|GR","Without Sequence","113.54","",""
"29/12/2023 23:00:00 - 30/12/2023 00:00:00","BZN|GR","Without Sequence","109.62","",""
