"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"10/01/2024 00:00:00 - 10/01/2024 01:00:00","BZN|GR","Without Sequence","89.16","",""
"10/01/2024 01:00:00 - 10/01/2024 02:00:00","BZN|GR","Without Sequence","86.76","",""
"10/01/2024 02:00:00 - 10/01/2024 03:00:00","BZN|GR","Without Sequence","86.73","",""
"10/01/2024 03:00:00 - 10/01/2024 04:00:00","BZN|GR","Without Sequence","85.80","",""
"10/01/2024 04:00:00 - 10/01/2024 05:00:00","BZN|GR","Without Sequence","87.80","",""
"10/01/2024 05:00:00 - 10/01/2024 06:00:00","BZN|GR","Without Sequence","91.46","",""
"10/01/2024 06:00:00 - 10/01/2024 07:00:00","BZN|GR","Without Sequence","108.96","",""
"10/01/2024 07:00:00 - 10/01/2024 08:00:00","BZN|GR","Without Sequence","120.00","",""
"10/01/2024 08:00:00 - 10/01/2024 09:00:00","BZN|GR","Without Sequence","139.20","",""
"10/01/2024 09:00:00 - 10/01/2024 10:00:00","BZN|GR","Without Sequence","104.56","",""
"10/01/2024 10:00:00 - 10/01/2024 11:00:00","BZN|GR","Without Sequence","117.47","",""
"10/01/2024 11:00:00 - 10/01/2024 12:00:00","BZN|GR","Without Sequence","109.13","",""
"10/01/2024 12:00:00 - 10/01/2024 13:00:00","BZN|GR","Without Sequence","101.73","",""
"10/01/2024 13:00:00 - 10/01/2024 14:00:00","BZN|GR","Without Sequence","106.54","",""
"10/01/2024 14:00:00 - 10/01/2024 15:00:00","BZN|GR","Without Sequence","110.20","",""
"10/01/2024 15:00:00 - 10/01/2024 16:00:00","BZN|GR","Without Sequence","119.77","",""
"10/01/2024 16:00:00 - 10/01/2024 17:00:00","BZN|GR","Without Sequence","133.14","",""
"10/01/2024 17:00:00 - 10/01/2024 18:00:00","BZN|GR","Without Sequence","143.79","",""
"10/01/2024 18:00:00 - 10/01/2024 19:00:00","BZN|GR","Without Sequence","140.00","",""
"10/01/2024 19:00:00 - 10/01/2024 20:00:00","BZN|GR","Without Sequence","132.15","",""
"10/01/2024 20:00:00 - 10/01/2024 21:00:00","BZN|GR","Without Sequence","120.00","",""
"10/01/2024 21:00:00 - 10/01/2024 22:00:00","BZN|GR","Without Sequence","109.13","",""
"10/01/2024 22:00:00 - 10/01/2024 23:00:00","BZN|GR","Without Sequence","104.86","",""
"10/01/2024 23:00:00 - 11/01/2024 00:00:00","BZN|GR","Without Sequence","95.83","",""
