"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"05/01/2024 00:00:00 - 05/01/2024 01:00:00","BZN|GR","Without Sequence","86.08","",""
"05/01/2024 01:00:00 - 05/01/2024 02:00:00","BZN|GR","Without Sequence","88.96","",""
"05/01/2024 02:00:00 - 05/01/2024 03:00:00","BZN|GR","Without Sequence","78.50","",""
"05/01/2024 03:00:00 - 05/01/2024 04:00:00","BZN|GR","Without Sequence","78.50","",""
"05/01/2024 04:00:00 - 05/01/2024 05:00:00","BZN|GR","Without Sequence","79.39","",""
"05/01/2024 05:00:00 - 05/01/2024 06:00:00","BZN|GR","Without Sequence","79.60","",""
"05/01/2024 06:00:00 - 05/01/2024 07:00:00","BZN|GR","Without Sequence","93.83","",""
"05/01/2024 07:00:00 - 05/01/2024 08:00:00","BZN|GR","Without Sequence","104.58","",""
"05/01/2024 08:00:00 - 05/01/2024 09:00:00","BZN|GR","Without Sequence","106.79","",""
"05/01/2024 09:00:00 - 05/01/2024 10:00:00","BZN|GR","Without Sequence","100.66","",""
"05/01/2024 10:00:00 - 05/01/2024 11:00:00","BZN|GR","Without Sequence","97.52","",""
"05/01/2024 11:00:00 - 05/01/2024 12:00:00","BZN|GR","Without Sequence","98.53","",""
"05/01/2024 12:00:00 - 05/01/2024 13:00:00","BZN|GR","Without Sequence","97.17","",""
"05/01/2024 13:00:00 - 05/01/2024 14:00:00","BZN|GR","Without Sequence","102.85","",""
"05/01/2024 14:00:00 - 05/01/2024 15:00:00","BZN|GR","Without Sequence","110.28","",""
"05/01/2024 15:00:00 - 05/01/2024 16:00:00","BZN|GR","Without Sequence","112.17","",""
"05/01/2024 16:00:00 - 05/01/2024 17:00:00","BZN|GR","Without Sequence","113.85","",""
"05/01/2024 17:00:00 - 05/01/2024 18:00:00","BZN|GR","Without Sequence","116.07","",""
"05/01/2024 18:00:00 - 05/01/2024 19:00:00","BZN|GR","Without Sequence","112.63","",""
"05/01/2024 19:00:00 - 05/01/2024 20:00:00","BZN|GR","Without Sequence","109.79","",""
"05/01/2024 20:00:00 - 05/01/2024 21:00:00","BZN|GR","Without Sequence","105.65","",""
"05/01/2024 21:00:00 - 05/01/2024 22:00:00","BZN|GR","Without Sequence","97.07","",""
"05/01/2024 22:00:00 - 05/01/2024 23:00:00","BZN|GR","Without Sequence","99.86","",""
"05/01/2024 23:00:00 - 06/01/2024 00:00:00","BZN|GR","Without Sequence","86.80","",""
