"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"22/01/2024 00:00:00 - 22/01/2024 01:00:00","BZN|GR","Without Sequence","51.63","",""
"22/01/2024 01:00:00 - 22/01/2024 02:00:00","BZN|GR","Without Sequence","54.01","",""
"22/01/2024 02:00:00 - 22/01/2024 03:00:00","BZN|GR","Without Sequence","50.77","",""
"22/01/2024 03:00:00 - 22/01/2024 04:00:00","BZN|GR","Without Sequence","44.20","",""
"22/01/2024 04:00:00 - 22/01/2024 05:00:00","BZN|GR","Without Sequence","49.31","",""
"22/01/2024 05:00:00 - 22/01/2024 06:00:00","BZN|GR","Without Sequence","95.68","",""
"22/01/2024 06:00:00 - 22/01/2024 07:00:00","BZN|GR","Without Sequence","106.00","",""
"22/01/2024 07:00:00 - 22/01/2024 08:00:00","BZN|GR","Without Sequence","114.50","",""
"22/01/2024 08:00:00 - 22/01/2024 09:00:00","BZN|GR","Without Sequence","122.01","",""
"22/01/2024 09:00:00 - 22/01/2024 10:00:00","BZN|GR","Without Sequence","109.32","",""
"22/01/2024 10:00:00 - 22/01/2024 11:00:00","BZN|GR","Without Sequence","81.77","",""
"22/01/2024 11:00:00 - 22/01/2024 12:00:00","BZN|GR","Without Sequence","78.27","",""
"22/01/2024 12:00:00 - 22/01/2024 13:00:00","BZN|GR","Without Sequence","67.66","",""
"22/01/2024 13:00:00 - 22/01/2024 14:00:00","BZN|GR","Without Sequence","83.15","",""
"22/01/2024 14:00:00 - 22/01/2024 15:00:00","BZN|GR","Without Sequence","90.42","",""
"22/01/2024 15:00:00 - 22/01/2024 16:00:00","BZN|GR","Without Sequence","113.41","",""
"22/01/2024 16:00:00 - 22/01/2024 17:00:00","BZN|GR","Without Sequence","122.00","",""
"22/01/2024 17:00:00 - 22/01/2024 18:00:00","BZN|GR","Without Sequence","131.80","",""
"22/01/2024 18:00:00 - 22/01/2024 19:00:00","BZN|GR","Without Sequence","122.01","",""
"22/01/2024 19:00:00 - 22/01/2024 20:00:00","BZN|GR","Without Sequence","114.50","",""
"22/01/2024 20:00:00 - 22/01/2024 21:00:00","BZN|GR","Without Sequence","108.63","",""
"22/01/2024 21:00:00 - 22/01/2024 22:00:00","BZN|GR","Without Sequence","99.83","",""
"22/01/2024 22:00:00 - 22/01/2024 23:00:00","BZN|GR","Without Sequence","97.47","",""
"22/01/2024 23:00:00 - 23/01/2024 00:00:00","BZN|GR","Without Sequence","90.01","",""
