"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"21/01/2024 00:00:00 - 21/01/2024 01:00:00","BZN|GR","Without Sequence","69.54","",""
"21/01/2024 01:00:00 - 21/01/2024 02:00:00","BZN|GR","Without Sequence","57.96","",""
"21/01/2024 02:00:00 - 21/01/2024 03:00:00","BZN|GR","Without Sequence","55.15","",""
"21/01/2024 03:00:00 - 21/01/2024 04:00:00","BZN|GR","Without Sequence","50.89","",""
"21/01/2024 04:00:00 - 21/01/2024 05:00:00","BZN|GR","Without Sequence","53.72","",""
"21/01/2024 05:00:00 - 21/01/2024 06:00:00","BZN|GR","Without Sequence","61.20","",""
"21/01/2024 06:00:00 - 21/01/2024 07:00:00","BZN|GR","Without Sequence","61.44","",""
"21/01/2024 07:00:00 - 21/01/2024 08:00:00","BZN|GR","Without Sequence","64.65","",""
"21/01/2024 08:00:00 - 21/01/2024 09:00:00","BZN|GR","Without Sequence","66.25","",""
"21/01/2024 09:00:00 - 21/01/2024 10:00:00","BZN|GR","Without Sequence","59.01","",""
"21/01/2024 10:00:00 - 21/01/2024 11:00:00","BZN|GR","Without Sequence","54.65","",""
"21/01/2024 11:00:00 - 21/01/2024 12:00:00","BZN|GR","Without Sequence","50.98","",""
"21/01/2024 12:00:00 - 21/01/2024 13:00:00","BZN|GR","Without Sequence","46.25","",""
"21/01/2024 13:00:00 - 21/01/2024 14:00:00","BZN|GR","Without Sequence","47.03","",""
"21/01/2024 14:00:00 - 21/01/2024 15:00:00","BZN|GR","Without Sequence","61.49","",""
"21/01/2024 15:00:00 - 21/01/2024 16:00:00","BZN|GR","Without Sequence","88.38","",""
"21/01/2024 16:00:00 - 21/01/2024 17:00:00","BZN|GR","Without Sequence","95.00","",""
"21/01/2024 17:00:00 - 21/01/2024 18:00:00","BZN|GR","Without Sequence","98.81","",""
"21/01/2024 18:00:00 - 21/01/2024 19:00:00","BZN|GR","Without Sequence","101.87","",""
"21/01/2024 19:00:00 - 21/01/2024 20:00:00","BZN|GR","Without Sequence","98.69","",""
"21/01/2024 20:00:00 - 21/01/2024 21:00:00","BZN|GR","Without Sequence","94.00","",""
"21/01/2024 21:00:00 - 21/01/2024 22:00:00","BZN|GR","Without Sequence","77.65","",""
"21/01/2024 22:00:00 - 21/01/2024 23:00:00","BZN|GR","Without Sequence","75.00","",""
"21/01/2024 23:00:00 - 22/01/2024 00:00:00","BZN|GR","Without Sequence","60.46","",""
