"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"28/12/2023 00:00:00 - 28/12/2023 01:00:00","BZN|GR","Without Sequence","100.00","",""
"28/12/2023 01:00:00 - 28/12/2023 02:00:00","BZN|GR","Without Sequence","88.50","",""
"28/12/2023 02:00:00 - 28/12/2023 03:00:00","BZN|GR","Without Sequence","84.24","",""
"28/12/2023 03:00:00 - 28/12/2023 04:00:00","BZN|GR","Without Sequence","80.00","",""
"28/12/2023 04:00:00 - 28/12/2023 05:00:00","BZN|GR","Without Sequence","83.01","",""
"28/12/2023 05:00:00 - 28/12/2023 06:00:00","BZN|GR","Without Sequence","88.96","",""
"28/12/2023 06:00:00 - 28/12/2023 07:00:00","BZN|GR","Without Sequence","110.44","",""
"28/12/2023 07:00:00 - 28/12/2023 08:00:00","BZN|GR","Without Sequence","112.37","",""
"28/12/2023 08:00:00 - 28/12/2023 09:00:00","BZN|GR","Without Sequence","115.13","",""
"28/12/2023 09:00:00 - 28/12/2023 10:00:00","BZN|GR","Without Sequence","104.98","",""
"28/12/2023 10:00:00 - 28/12/2023 11:00:00","BZN|GR","Without Sequence","64.95","",""
"28/12/2023 11:00:00 - 28/12/2023 12:00:00","BZN|GR","Without Sequence","49.00","",""
"28/12/2023 12:00:00 - 28/12/2023 13:00:00","BZN|GR","Without Sequence","56.42","",""
"28/12/2023 13:00:00 - 28/12/2023 14:00:00","BZN|GR","Without Sequence","74.59","",""
"28/12/2023 14:00:00 - 28/12/2023 15:00:00","BZN|GR","Without Sequence","98.17","",""
"28/12/2023 15:00:00 - 28/12/2023 16:00:00","BZN|GR","Without Sequence","108.61","",""
"28/12/2023 16:00:00 - 28/12/2023 17:00:00","BZN|GR","Without Sequence","116.00","",""
"28/12/2023 17:00:00 - 28/12/2023 18:00:00","BZN|GR","Without Sequence","119.39","",""
"28/12/2023 18:00:00 - 28/12/2023 19:00:00","BZN|GR","Without Sequence","128.44","",""
"28/12/2023 19:00:00 - 28/12/2023 20:00:00","BZN|GR","Without Sequence","131.89","",""
"28/12/2023 20:00:00 - 28/12/2023 21:00:00","BZN|GR","Without Sequence","119.41","",""
"28/12/2023 21:00:00 - 28/12/2023 22:00:00","BZN|GR","Without Sequence","114.80","",""
"28/12/2023 22:00:00 - 28/12/2023 23:00:00","BZN|GR","Without Sequence","112.00","",""
"28/12/2023 23:00:00 - 29/12/2023 00:00:00","BZN|GR","Without Sequence","96.30","",""
