"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"04/01/2024 00:00:00 - 04/01/2024 01:00:00","BZN|GR","Without Sequence","74.19","",""
"04/01/2024 01:00:00 - 04/01/2024 02:00:00","BZN|GR","Without Sequence","65.00","",""
"04/01/2024 02:00:00 - 04/01/2024 03:00:00","BZN|GR","Without Sequence","40.00","",""
"04/01/2024 03:00:00 - 04/01/2024 04:00:00","BZN|GR","Without Sequence","35.20","",""
"04/01/2024 04:00:00 - 04/01/2024 05:00:00","BZN|GR","Without Sequence","49.39","",""
"04/01/2024 05:00:00 - 04/01/2024 06:00:00","BZN|GR","Without Sequence","70.10","",""
"04/01/2024 06:00:00 - 04/01/2024 07:00:00","BZN|GR","Without Sequence","97.61","",""
"04/01/2024 07:00:00 - 04/01/2024 08:00:00","BZN|GR","Without Sequence","85.02","",""
"04/01/2024 08:00:00 - 04/01/2024 09:00:00","BZN|GR","Without Sequence","91.47","",""
"04/01/2024 09:00:00 - 04/01/2024 10:00:00","BZN|GR","Without Sequence","94.20","",""
"04/01/2024 10:00:00 - 04/01/2024 11:00:00","BZN|GR","Without Sequence","73.83","",""
"04/01/2024 11:00:00 - 04/01/2024 12:00:00","BZN|GR","Without Sequence","70.10","",""
"04/01/2024 12:00:00 - 04/01/2024 13:00:00","BZN|GR","Without Sequence","70.10","",""
"04/01/2024 13:00:00 - 04/01/2024 14:00:00","BZN|GR","Without Sequence","85.96","",""
"04/01/2024 14:00:00 - 04/01/2024 15:00:00","BZN|GR","Without Sequence","92.11","",""
"04/01/2024 15:00:00 - 04/01/2024 16:00:00","BZN|GR","Without Sequence","98.62","",""
"04/01/2024 16:00:00 - 04/01/2024 17:00:00","BZN|GR","Without Sequence","104.51","",""
"04/01/2024 17:00:00 - 04/01/2024 18:00:00","BZN|GR","Without Sequence","112.67","",""
"04/01/2024 18:00:00 - 04/01/2024 19:00:00","BZN|GR","Without Sequence","114.48","",""
"04/01/2024 19:00:00 - 04/01/2024 20:00:00","BZN|GR","Without Sequence","110.45","",""
"04/01/2024 20:00:00 - 04/01/2024 21:00:00","BZN|GR","Without Sequence","100.95","",""
"04/01/2024 21:00:00 - 04/01/2024 22:00:00","BZN|GR","Without Sequence","94.90","",""
"04/01/2024 22:00:00 - 04/01/2024 23:00:00","BZN|GR","Without Sequence","99.81","",""
"04/01/2024 23:00:00 - 05/01/2024 00:00:00","BZN|GR","Without Sequence","97.98","",""
