"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"07/01/2024 00:00:00 - 07/01/2024 01:00:00","BZN|GR","Without Sequence","84.08","",""
"07/01/2024 01:00:00 - 07/01/2024 02:00:00","BZN|GR","Without Sequence","79.82","",""
"07/01/2024 02:00:00 - 07/01/2024 03:00:00","BZN|GR","Without Sequence","76.76","",""
"07/01/2024 03:00:00 - 07/01/2024 04:00:00","BZN|GR","Without Sequence","73.46","",""
"07/01/2024 04:00:00 - 07/01/2024 05:00:00","BZN|GR","Without Sequence","71.86","",""
"07/01/2024 05:00:00 - 07/01/2024 06:00:00","BZN|GR","Without Sequence","72.08","",""
"07/01/2024 06:00:00 - 07/01/2024 07:00:00","BZN|GR","Without Sequence","74.91","",""
"07/01/2024 07:00:00 - 07/01/2024 08:00:00","BZN|GR","Without Sequence","77.69","",""
"07/01/2024 08:00:00 - 07/01/2024 09:00:00","BZN|GR","Without Sequence","81.79","",""
"07/01/2024 09:00:00 - 07/01/2024 10:00:00","BZN|GR","Without Sequence","84.86","",""
"07/01/2024 10:00:00 - 07/01/2024 11:00:00","BZN|GR","Without Sequence","81.53","",""
"07/01/2024 11:00:00 - 07/01/2024 12:00:00","BZN|GR","Without Sequence","81.01","",""
"07/01/2024 12:00:00 - 07/01/2024 13:00:00","BZN|GR","Without Sequence","88.66","",""
"07/01/2024 13:00:00 - 07/01/2024 14:00:00","BZN|GR","Without Sequence","84.81","",""
"07/01/2024 14:00:00 - 07/01/2024 15:00:00","BZN|GR","Without Sequence","84.34","",""
"07/01/2024 15:00:00 - 07/01/2024 16:00:00","BZN|GR","Without Sequence","88.01","",""
"07/01/2024 16:00:00 - 07/01/2024 17:00:00","BZN|GR","Without Sequence","93.42","",""
"07/01/2024 17:00:00 - 07/01/2024 18:00:00","BZN|GR","Without Sequence","101.77","",""
"07/01/2024 18:00:00 - 07/01/2024 19:00:00","BZN|GR","Without Sequence","104.85","",""
"07/01/2024 19:00:00 - 07/01/2024 20:00:00","BZN|GR","Without Sequence","101.23","",""
"07/01/2024 20:00:00 - 07/01/2024 21:00:00","BZN|GR","Without Sequence","100.50","",""
"07/01/2024 21:00:00 - 07/01/2024 22:00:00","BZN|GR","Without Sequence","93.31","",""
"07/01/2024 22:00:00 - 07/01/2024 23:00:00","BZN|GR","Without Sequence","91.17","",""
"07/01/2024 23:00:00 - 08/01/2024 00:00:00","BZN|GR","Without Sequence","83.86","",""
