"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"06/01/2024 00:00:00 - 06/01/2024 01:00:00","BZN|GR","Without Sequence","91.00","",""
"06/01/2024 01:00:00 - 06/01/2024 02:00:00","BZN|GR","Without Sequence","94.75","",""
"06/01/2024 02:00:00 - 06/01/2024 03:00:00","BZN|GR","Without Sequence","76.13","",""
"06/01/2024 03:00:00 - 06/01/2024 04:00:00","BZN|GR","Without Sequence","73.01","",""
"06/01/2024 04:00:00 - 06/01/2024 05:00:00","BZN|GR","Without Sequence","73.01","",""
"06/01/2024 05:00:00 - 06/01/2024 06:00:00","BZN|GR","Without Sequence","74.59","",""
"06/01/2024 06:00:00 - 06/01/2024 07:00:00","BZN|GR","Without Sequence","75.10","",""
"06/01/2024 07:00:00 - 06/01/2024 08:00:00","BZN|GR","Without Sequence","81.39","",""
"06/01/2024 08:00:00 - 06/01/2024 09:00:00","BZN|GR","Without Sequence","88.40","",""
"06/01/2024 09:00:00 - 06/01/2024 10:00:00","BZN|GR","Without Sequence","92.23","",""
"06/01/2024 10:00:00 - 06/01/2024 11:00:00","BZN|GR","Without Sequence","97.30","",""
"06/01/2024 11:00:00 - 06/01/2024 12:00:00","BZN|GR","Without Sequence","94.70","",""
"06/01/2024 12:00:00 - 06/01/2024 13:00:00","BZN|GR","Without Sequence","92.77","",""
"06/01/2024 13:00:00 - 06/01/2024 14:00:00","BZN|GR","Without Sequence","91.00","",""
"06/01/2024 14:00:00 - 06/01/2024 15:00:00","BZN|GR","Without Sequence","92.47","",""
"06/01/2024 15:00:00 - 06/01/2024 16:00:00","BZN|GR","Without Sequence","94.25","",""
"06/01/2024 16:00:00 - 06/01/2024 17:00:00","BZN|GR","Without Sequence","93.59","",""
"06/01/2024 17:00:00 - 06/01/2024 18:00:00","BZN|GR","Without Sequence","99.24","",""
"06/01/2024 18:00:00 - 06/01/2024 19:00:00","BZN|GR","Without Sequence","95.67","",""
"06/01/2024 19:00:00 - 06/01/2024 20:00:00","BZN|GR","Without Sequence","93.88","",""
"06/01/2024 20:00:00 - 06/01/2024 21:00:00","BZN|GR","Without Sequence","92.14","",""
"06/01/2024 21:00:00 - 06/01/2024 22:00:00","BZN|GR","Without Sequence","88.00","",""
"06/01/2024 22:00:00 - 06/01/2024 23:00:00","BZN|GR","Without Sequence","86.57","",""
"06/01/2024 23:00:00 - 07/01/2024 00:00:00","BZN|GR","Without Sequence","79.87","",""
