"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"26/01/2024 00:00:00 - 26/01/2024 01:00:00","BZN|GR","Without Sequence","93.80","",""
"26/01/2024 01:00:00 - 26/01/2024 02:00:00","BZN|GR","Without Sequence","88.89","",""
"26/01/2024 02:00:00 - 26/01/2024 03:00:00","BZN|GR","Without Sequence","70.00","",""
"26/01/2024 03:00:00 - 26/01/2024 04:00:00","BZN|GR","Without Sequence","66.64","",""
"26/01/2024 04:00:00 - 26/01/2024 05:00:00","BZN|GR","Without Sequence","70.00","",""
"26/01/2024 05:00:00 - 26/01/2024 06:00:00","BZN|GR","Without Sequence","90.01","",""
"26/01/2024 06:00:00 - 26/01/2024 07:00:00","BZN|GR","Without Sequence","99.30","",""
"26/01/2024 07:00:00 - 26/01/2024 08:00:00","BZN|GR","Without Sequence","120.05","",""
"26/01/2024 08:00:00 - 26/01/2024 09:00:00","BZN|GR","Without Sequence","114.82","",""
"26/01/2024 09:00:00 - 26/01/2024 10:00:00","BZN|GR","Without Sequence","101.46","",""
"26/01/2024 10:00:00 - 26/01/2024 11:00:00","BZN|GR","Without Sequence","93.46","",""
"26/01/2024 11:00:00 - 26/01/2024 12:00:00","BZN|GR","Without Sequence","91.66","",""
"26/01/2024 12:00:00 - 26/01/2024 13:00:00","BZN|GR","Without Sequence","80.79","",""
"26/01/2024 13:00:00 - 26/01/2024 14:00:00","BZN|GR","Without Sequence","87.52","",""
"26/01/2024 14:00:00 - 26/01/2024 15:00:00","BZN|GR","Without Sequence","94.94","",""
"26/01/2024 15:00:00 - 26/01/2024 16:00:00","BZN|GR","Without Sequence","101.66","",""
"26/01/2024 16:00:00 - 26/01/2024 17:00:00","BZN|GR","Without Sequence","117.36","",""
"26/01/2024 17:00:00 - 26/01/2024 18:00:00","BZN|GR","Without Sequence","122.01","",""
"26/01/2024 18:00:00 - 26/01/2024 19:00:00","BZN|GR","Without Sequence","118.07","",""
"26/01/2024 19:00:00 - 26/01/2024 20:00:00","BZN|GR","Without Sequence","107.72","",""
"26/01/2024 20:00:00 - 26/01/2024 21:00:00","BZN|GR","Without Sequence","101.25","",""
"26/01/2024 21:00:00 - 26/01/2024 22:00:00","BZN|GR","Without Sequence","98.57","",""
"26/01/2024 22:00:00 - 26/01/2024 23:00:00","BZN|GR","Without Sequence","95.48","",""
"26/01/2024 23:00:00 - 27/01/2024 00:00:00","BZN|GR","Without Sequence","94.05","",""
