"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"24/01/2024 00:00:00 - 24/01/2024 01:00:00","BZN|GR","Without Sequence","76.40","",""
"24/01/2024 01:00:00 - 24/01/2024 02:00:00","BZN|GR","Without Sequence","71.58","",""
"24/01/2024 02:00:00 - 24/01/2024 03:00:00","BZN|GR","Without Sequence","65.70","",""
"24/01/2024 03:00:00 - 24/01/2024 04:00:00","BZN|GR","Without Sequence","52.87","",""
"24/01/2024 04:00:00 - 24/01/2024 05:00:00","BZN|GR","Without Sequence","53.12","",""
"24/01/2024 05:00:00 - 24/01/2024 06:00:00","BZN|GR","Without Sequence","79.00","",""
"24/01/2024 06:00:00 - 24/01/2024 07:00:00","BZN|GR","Without Sequence","97.01","",""
"24/01/2024 07:00:00 - 24/01/2024 08:00:00","BZN|GR","Without Sequence","122.01","",""
"24/01/2024 08:00:00 - 24/01/2024 09:00:00","BZN|GR","Without Sequence","122.01","",""
"24/01/2024 09:00:00 - 24/01/2024 10:00:00","BZN|GR","Without Sequence","78.00","",""
"24/01/2024 10:00:00 - 24/01/2024 11:00:00","BZN|GR","Without Sequence","94.97","",""
"24/01/2024 11:00:00 - 24/01/2024 12:00:00","BZN|GR","Without Sequence","85.00","",""
"24/01/2024 12:00:00 - 24/01/2024 13:00:00","BZN|GR","Without Sequence","69.00","",""
"24/01/2024 13:00:00 - 24/01/2024 14:00:00","BZN|GR","Without Sequence","84.97","",""
"24/01/2024 14:00:00 - 24/01/2024 15:00:00","BZN|GR","Without Sequence","95.25","",""
"24/01/2024 15:00:00 - 24/01/2024 16:00:00","BZN|GR","Without Sequence","101.00","",""
"24/01/2024 16:00:00 - 24/01/2024 17:00:00","BZN|GR","Without Sequence","111.88","",""
"24/01/2024 17:00:00 - 24/01/2024 18:00:00","BZN|GR","Without Sequence","122.00","",""
"24/01/2024 18:00:00 - 24/01/2024 19:00:00","BZN|GR","Without Sequence","122.00","",""
"24/01/2024 19:00:00 - 24/01/2024 20:00:00","BZN|GR","Without Sequence","119.27","",""
"24/01/2024 20:00:00 - 24/01/2024 21:00:00","BZN|GR","Without Sequence","102.53","",""
"24/01/2024 21:00:00 - 24/01/2024 22:00:00","BZN|GR","Without Sequence","101.94","",""
"24/01/2024 22:00:00 - 24/01/2024 23:00:00","BZN|GR","Without Sequence","97.09","",""
"24/01/2024 23:00:00 - 25/01/2024 00:00:00","BZN|GR","Without Sequence","94.00","",""
