"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|GR","Without Sequence","107.09","",""
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|GR","Without Sequence","104.00","",""
"01/01/2024 02:00:00 - 01/01/2024 03:00:00","BZN|GR","Without Sequence","100.00","",""
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","BZN|GR","Without Sequence","85.66","",""
"01/01/2024 04:00:00 - 01/01/2024 05:00:00","BZN|GR","Without Sequence","85.00","",""
"01/01/2024 05:00:00 - 01/01/2024 06:00:00","BZN|GR","Without Sequence","85.53","",""
"01/01/2024 06:00:00 - 01/01/2024 07:00:00","BZN|GR","Without Sequence","95.07","",""
"01/01/2024 07:00:00 - 01/01/2024 08:00:00","BZN|GR","Without Sequence","103.07","",""
"01/01/2024 08:00:00 - 01/01/2024 09:00:00","BZN|GR","Without Sequence","65.00","",""
"01/01/2024 09:00:00 - 01/01/2024 10:00:00","BZN|GR","Without Sequence","47.34","",""
"01/01/2024 10:00:00 - 01/01/2024 11:00:00","BZN|GR","Without Sequence","1.00","",""
"01/01/2024 11:00:00 - 01/01/2024 12:00:00","BZN|GR","Without Sequence","0.54","",""
"01/01/2024 12:00:00 - 01/01/2024 13:00:00","BZN|GR","Without Sequence","2.24","",""
"01/01/2024 13:00:00 - 01/01/2024 14:00:00","BZN|GR","Without Sequence","3.24","",""
"01/01/2024 14:00:00 - 01/01/2024 15:00:00","BZN|GR","Without Sequence","65.10","",""
"01/01/2024 15:00:00 - 01/01/2024 16:00:00","BZN|GR","Without Sequence","96.91","",""
"01/01/2024 16:00:00 - 01/01/2024 17:00:00","BZN|GR","Without Sequence","97.44","",""
"01/01/2024 17:00:00 - 01/01/2024 18:00:00","BZN|GR","Without Sequence","94.00","",""
"01/01/2024 18:00:00 - 01/01/2024 19:00:00","BZN|GR","Without Sequence","98.58","",""
"01/01/2024 19:00:00 - 01/01/2024 20:00:00","BZN|GR","Without Sequence","101.03","",""
"01/01/2024 20:00:00 - 01/01/2024 21:00:00","BZN|GR","Without Sequence","105.72","",""
"01/01/2024 21:00:00 - 01/01/2024 22:00:00","BZN|GR","Without Sequence","101.06","",""
"01/01/2024 22:00:00 - 01/01/2024 23:00:00","BZN|GR","Without Sequence","103.19","",""
"01/01/2024 23:00:00 - 02/01/2024 00:00:00","BZN|GR","Without Sequence","99.05","",""
