"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"19/01/2024 00:00:00 - 19/01/2024 01:00:00","BZN|GR","Without Sequence","59.62","",""
"19/01/2024 01:00:00 - 19/01/2024 02:00:00","BZN|GR","Without Sequence","49.35","",""
"19/01/2024 02:00:00 - 19/01/2024 03:00:00","BZN|GR","Without Sequence","60.53","",""
"19/01/2024 03:00:00 - 19/01/2024 04:00:00","BZN|GR","Without Sequence","62.76","",""
"19/01/2024 04:00:00 - 19/01/2024 05:00:00","BZN|GR","Without Sequence","63.32","",""
"19/01/2024 05:00:00 - 19/01/2024 06:00:00","BZN|GR","Without Sequence","67.53","",""
"19/01/2024 06:00:00 - 19/01/2024 07:00:00","BZN|GR","Without Sequence","78.19","",""
"19/01/2024 07:00:00 - 19/01/2024 08:00:00","BZN|GR","Without Sequence","93.05","",""
"19/01/2024 08:00:00 - 19/01/2024 09:00:00","BZN|GR","Without Sequence","104.28","",""
"19/01/2024 09:00:00 - 19/01/2024 10:00:00","BZN|GR","Without Sequence","103.00","",""
"19/01/2024 10:00:00 - 19/01/2024 11:00:00","BZN|GR","Without Sequence","95.01","",""
"19/01/2024 11:00:00 - 19/01/2024 12:00:00","BZN|GR","Without Sequence","86.70","",""
"19/01/2024 12:00:00 - 19/01/2024 13:00:00","BZN|GR","Without Sequence","78.17","",""
"19/01/2024 13:00:00 - 19/01/2024 14:00:00","BZN|GR","Without Sequence","74.17","",""
"19/01/2024 14:00:00 - 19/01/2024 15:00:00","BZN|GR","Without Sequence","75.99","",""
"19/01/2024 15:00:00 - 19/01/2024 16:00:00","BZN|GR","Without Sequence","93.46","",""
"19/01/2024 16:00:00 - 19/01/2024 17:00:00","BZN|GR","Without Sequence","98.89","",""
"19/01/2024 17:00:00 - 19/01/2024 18:00:00","BZN|GR","Without Sequence","106.93","",""
"19/01/2024 18:00:00 - 19/01/2024 19:00:00","BZN|GR","Without Sequence","107.17","",""
"19/01/2024 19:00:00 - 19/01/2024 20:00:00","BZN|GR","Without Sequence","98.10","",""
"19/01/2024 20:00:00 - 19/01/2024 21:00:00","BZN|GR","Without Sequence","97.91","",""
"19/01/2024 21:00:00 - 19/01/2024 22:00:00","BZN|GR","Without Sequence","74.38","",""
"19/01/2024 22:00:00 - 19/01/2024 23:00:00","BZN|GR","Without Sequence","79.14","",""
"19/01/2024 23:00:00 - 20/01/2024 00:00:00","BZN|GR","Without Sequence","67.35","",""
